"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Culpeper County Public Schools","Farmington Elementary",38,58,0
"Culpeper County Public Schools","Floyd T. Binns Middle",61,39,0
"Culpeper County Public Schools","Pearl Sample Elementary",51,43,0
"Culpeper County Public Schools","Sycamore Park Elementary",63,37,0
"Culpeper County Public Schools","Yowell Elementary",56,42,0
"Cumberland County Public Schools","Cumberland Elementary",58,40,2
"Cumberland County Public Schools","Cumberland High",42,53,0
"Cumberland County Public Schools","Cumberland Middle",49,46,0
"Danville City Public Schools","Edwin A. Gibson Elementary",47,51,2
"Danville City Public Schools","Forest Hills Elementary",45,50,5
"Danville City Public Schools","G.L.H. Johnson Elementary",33,58,6
"Danville City Public Schools","Galileo Magnet High",50,46,0
"Danville City Public Schools","George Washington High",37,56,1
"Danville City Public Schools","O. Trent Bonner Middle",52,40,0
"Danville City Public Schools","Park Avenue Elementary",53,47,0
"Danville City Public Schools","Schoolfield Elementary",53,42,0
"Danville City Public Schools","Westwood Middle",37,57,6
"Danville City Public Schools","Woodberry Hills Elementary",46,50,0
"Dickenson County Public Schools","Clintwood Elementary",66,29,0
"Dickenson County Public Schools","Ervinton Elementary",79,21,0
"Dickenson County Public Schools","Ridgeview High",61,26,2
"Dickenson County Public Schools","Ridgeview Middle",73,24,0
"Dickenson County Public Schools","Sandlick Elementary",80,14,0
"Dinwiddie County Public Schools","Dinwiddie County High",51,45,1
"Dinwiddie County Public Schools","Dinwiddie County Middle",49,49,1
"Dinwiddie County Public Schools","Dinwiddie Elementary",56,44,0
"Dinwiddie County Public Schools","Midway Elementary",58,42,0
"Dinwiddie County Public Schools","Southside Elementary",42,58,0
"Dinwiddie County Public Schools","Sunnyside Elementary",48,48,0
"Dinwiddie County Public Schools","Sutherland Elementary",46,54,0
"Essex County Public Schools","Essex High",50,46,2
"Essex County Public Schools","James H. Cary Intermediate ",57,40,0
"Essex County Public Schools","Tappahannock Elementary",47,53,0
"Fairfax County Public Schools","Aldrin Elementary",29,68,3
"Fairfax County Public Schools","Annandale High",26,69,2
"Fairfax County Public Schools","Annandale Terrace Elementary",34,64,0
"Fairfax County Public Schools","Archer Elementary",28,70,0
"Fairfax County Public Schools","Armstrong Elementary",26,68,4
"Fairfax County Public Schools","Bailey's Elementary School for the Arts and Sciences",19,81,0
"Fairfax County Public Schools","Bailey's Upper Elementary School for the Arts and Sciences",23,77,0
"Fairfax County Public Schools","Beech Tree Elementary",20,78,2
"Fairfax County Public Schools","Belle View Elementary",35,65,0
"Fairfax County Public Schools","Belvedere Elementary",35,62,2
"Fairfax County Public Schools","Bonnie Brae Elementary",28,70,1
"Fairfax County Public Schools","Braddock Elementary",29,66,2
"Fairfax County Public Schools","Bren Mar Park Elementary",33,67,0
"Fairfax County Public Schools","Brookfield Elementary",17,82,1
"Fairfax County Public Schools","Bryant High",21,74,2
"Fairfax County Public Schools","Bucknell Elementary",16,76,5
"Fairfax County Public Schools","Bull Run Elementary",33,67,0
