"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Rockbridge County Public Schools","Rockbridge County High",34,57,4
"Rockingham County Public Schools","Broadway High",41,58,1
"Rockingham County Public Schools","Cub Run Elementary",49,51,0
"Rockingham County Public Schools","East Rockingham High",42,53,3
"Rockingham County Public Schools","Elkton Elementary",49,51,0
"Rockingham County Public Schools","Elkton Middle",36,64,0
"Rockingham County Public Schools","Fulks Run Elementary",41,59,0
"Rockingham County Public Schools","J. Frank Hillyard Middle",55,44,0
"Rockingham County Public Schools","John C. Myers Elementary",48,52,0
"Rockingham County Public Schools","John W. Wayland Elementary",43,57,0
"Rockingham County Public Schools","Lacey Spring Elementary",28,72,0
"Rockingham County Public Schools","Linville-Edom Elementary",38,58,4
"Rockingham County Public Schools","McGaheysville Elementary",54,46,0
"Rockingham County Public Schools","Montevideo Middle",47,51,0
"Rockingham County Public Schools","Mountain View Elementary",34,64,0
"Rockingham County Public Schools","Ottobine Elementary",64,36,0
"Rockingham County Public Schools","Peak View Elementary",53,48,0
"Rockingham County Public Schools","Plains Elementary",50,50,0
"Rockingham County Public Schools","Pleasant Valley Elementary",38,62,0
"Rockingham County Public Schools","River Bend Elementary",54,46,0
"Rockingham County Public Schools","South River Elementary",45,55,0
"Rockingham County Public Schools","Spotswood High",43,56,1
"Rockingham County Public Schools","Turner Ashby High",57,42,1
"Rockingham County Public Schools","Wilbur S. Pence Middle",49,49,0
"Russell County Public Schools","Belfast Elementary",40,60,0
"Russell County Public Schools","Castlewood Elementary",63,32,0
"Russell County Public Schools","Castlewood High",53,44,0
"Russell County Public Schools","Copper Creek Elementary",54,46,0
"Russell County Public Schools","Honaker Elementary",76,22,0
"Russell County Public Schools","Honaker High",65,35,0
"Russell County Public Schools","Lebanon Elementary",63,33,0
"Russell County Public Schools","Lebanon High",68,30,0
"Russell County Public Schools","Lebanon Middle",45,52,0
"Russell County Public Schools","Lebanon Primary",59,33,4
"Russell County Public Schools","Swords Creek Elementary",39,61,0
"Salem City Public Schools","Andrew Lewis Middle",44,51,1
"Salem City Public Schools","East Salem Elementary",46,54,0
"Salem City Public Schools","G.W. Carver Elementary",28,69,0
"Salem City Public Schools","Salem High",31,63,1
"Salem City Public Schools","South Salem Elementary",30,70,0
"Salem City Public Schools","West Salem Elementary",31,69,0
"Scott County Public Schools","Duffield-Pattonsville Primary",62,35,0
"Scott County Public Schools","Dungannon Intermediate",50,50,0
"Scott County Public Schools","Fort Blackmore Primary",67,33,0
"Scott County Public Schools","Gate City High",47,45,2
"Scott County Public Schools","Gate City Middle",59,41,0
"Scott County Public Schools","Hilton Elementary",59,41,0
"Scott County Public Schools","Nickelsville Elementary",70,30,0
"Scott County Public Schools","Rye Cove High",46,46,0
"Scott County Public Schools","Rye Cove Intermediate",59,41,0
"Scott County Public Schools","Shoemaker Elementary",65,31,0
"Scott County Public Schools","Twin Springs High",39,57,4
"Scott County Public Schools","Weber City Elementary",65,27,0
"Scott County Public Schools","Yuma Elementary",68,32,0
"Shenandoah County Public Schools","Central High",48,48,1
"Shenandoah County Public Schools","Honey Run Elementary",47,49,0
"Shenandoah County Public Schools","Mountain View High",33,65,0
"Shenandoah County Public Schools","North Fork Middle",45,55,0
"Shenandoah County Public Schools","Peter Muhlenberg Middle",50,48,2
"Shenandoah County Public Schools","Sandy Hook Elementary",46,51,0
"Shenandoah County Public Schools","Signal Knob Middle",55,45,0
"Shenandoah County Public Schools","Strasburg High",41,57,0
"Shenandoah County Public Schools","W.W. Robinson Elementary",39,60,0
"Smyth County Public Schools","Atkins Elementary",57,39,0
"Smyth County Public Schools","Chilhowie Elementary",60,38,0
"Smyth County Public Schools","Chilhowie High",49,49,0
"Smyth County Public Schools","Chilhowie Middle",55,45,0
"Smyth County Public Schools","Marion Elementary",35,56,3
"Smyth County Public Schools","Marion Middle",67,33,0
"Smyth County Public Schools","Marion Senior High",52,44,2
"Smyth County Public Schools","Northwood High",45,55,0
"Smyth County Public Schools","Northwood Middle",74,26,0
"Smyth County Public Schools","Oak Point Elementary",45,48,3
"Smyth County Public Schools","Rich Valley Elementary",47,53,0
"Smyth County Public Schools","Saltville Elementary",61,39,0
"Smyth County Public Schools","Sugar Grove Elementary",60,20,0
"Southampton County Public Schools","Capron Elementary",61,30,9
"Southampton County Public Schools","Meherrin Elementary",41,59,0
"Southampton County Public Schools","Nottoway Elementary",52,48,0
"Southampton County Public Schools","Riverdale Elementary",57,39,0
"Southampton County Public Schools","Southampton High",64,31,0
"Southampton County Public Schools","Southampton Middle",69,24,0
"Spotsylvania County Public Schools","Battlefield Elementary",64,36,0
"Spotsylvania County Public Schools","Battlefield Middle",47,49,1
"Spotsylvania County Public Schools","Berkeley Elementary",33,67,0
"Spotsylvania County Public Schools","Brock Road Elementary",46,52,0
"Spotsylvania County Public Schools","Cedar Forest Elementary",38,60,2
"Spotsylvania County Public Schools","Chancellor Elementary",47,53,0
"Spotsylvania County Public Schools","Chancellor High",29,65,3
"Spotsylvania County Public Schools","Chancellor Middle",45,52,2
"Spotsylvania County Public Schools","Courthouse Road Elementary",58,42,0
"Spotsylvania County Public Schools","Courtland Elementary",50,50,0
"Spotsylvania County Public Schools","Courtland High",29,68,0
"Spotsylvania County Public Schools","Freedom Middle",38,60,0
"Spotsylvania County Public Schools","Harrison Road Elementary",50,48,0
"Spotsylvania County Public Schools","Lee Hill Elementary",46,54,0
"Spotsylvania County Public Schools","Livingston Elementary",50,50,0
"Spotsylvania County Public Schools","Massaponax High",48,47,3
"Spotsylvania County Public Schools","Ni River Middle",46,54,0
"Spotsylvania County Public Schools","Parkside Elementary",47,53,0
"Spotsylvania County Public Schools","Post Oak Middle",38,61,0
"Spotsylvania County Public Schools","Riverbend High ",39,58,2
"Spotsylvania County Public Schools","Riverview Elementary",55,45,0
"Spotsylvania County Public Schools","Salem Elementary",51,49,0
"Spotsylvania County Public Schools","Smith Station Elementary",53,47,0
"Spotsylvania County Public Schools","Spotswood Elementary",50,47,3
"Spotsylvania County Public Schools","Spotsylvania Elementary",43,57,0
"Spotsylvania County Public Schools","Spotsylvania High",46,52,1
"Spotsylvania County Public Schools","Spotsylvania Middle",50,50,0
"Spotsylvania County Public Schools","Thornburg Middle",55,45,0
"Spotsylvania County Public Schools","Wilderness Elementary",55,45,0
"Stafford County Public Schools","Andrew G. Wright Middle",38,62,0
"Stafford County Public Schools","Anne E. Moncure Elementary",49,51,0
"Stafford County Public Schools","Anthony Burns Elementary",47,53,0
"Stafford County Public Schools","Brooke Point High",34,57,4
"Stafford County Public Schools","Colonial Forge High",35,63,1
"Stafford County Public Schools","Conway Elementary",40,56,2
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",28,70,0
"Stafford County Public Schools","Edward E. Drew Jr. Middle",44,49,4
"Stafford County Public Schools","Falmouth Elementary",38,59,0
"Stafford County Public Schools","Ferry Farm Elementary",49,49,0
"Stafford County Public Schools","Garrisonville Elementary",36,58,0
"Stafford County Public Schools","Grafton Village Elementary",40,56,0
"Stafford County Public Schools","H.H. Poole Middle",38,60,0
"Stafford County Public Schools","Hampton Oaks Elementary",55,45,0
"Stafford County Public Schools","Hartwood Elementary",50,47,0
"Stafford County Public Schools","Kate Waller Barrett Elementary",44,50,0
"Stafford County Public Schools","Margaret Brent Elementary ",33,65,0
"Stafford County Public Schools","Mountain View High ",41,55,2
"Stafford County Public Schools","North Stafford High",38,55,1
"Stafford County Public Schools","Park Ridge Elementary",55,43,2
"Stafford County Public Schools","Rockhill Elementary",42,55,3
"Stafford County Public Schools","Rocky Run Elementary",39,59,2
"Stafford County Public Schools","Rodney E. Thompson Middle",42,55,2
"Stafford County Public Schools","Shirley C. Heim Middle",46,54,0
"Stafford County Public Schools","Stafford Elementary",49,51,0
"Stafford County Public Schools","Stafford Middle",45,53,2
"Stafford County Public Schools","Stafford Senior High",29,60,2
"Stafford County Public Schools","T. Benton Gayle Middle",52,48,0
"Stafford County Public Schools","Widewater Elementary",35,56,0
"Stafford County Public Schools","Winding Creek Elementary",39,61,0
"Staunton City Public Schools","Arthur R. Ware Elementary",43,49,3
"Staunton City Public Schools","Bessie Weller Elementary",51,49,0
"Staunton City Public Schools","Shelburne Middle",41,58,2
"Staunton City Public Schools","Staunton High",47,53,0
"Staunton City Public Schools","Thomas C. McSwain Elementary",45,53,0
"Suffolk City Public Schools","Booker T. Washington Elementary",40,57,2
"Suffolk City Public Schools","Colonel Fred Cherry Middle",50,46,0
"Suffolk City Public Schools","Creekside Elementary",49,47,2
"Suffolk City Public Schools","Elephant's Fork Elementary",23,72,2
"Suffolk City Public Schools","Florence Bowser Elementary",41,55,0
"Suffolk City Public Schools","Forest Glen Middle",40,48,0
"Suffolk City Public Schools","Hillpoint Elementary",44,54,0
"Suffolk City Public Schools","John F. Kennedy Middle",49,47,2
"Suffolk City Public Schools","John Yeates Middle",39,57,2
"Suffolk City Public Schools","Kilby Shores Elementary",39,51,0
"Suffolk City Public Schools","King's Fork High",42,50,2
"Suffolk City Public Schools","King's Fork Middle",40,54,1
"Suffolk City Public Schools","Lakeland High",47,43,0
"Suffolk City Public Schools","Mack Benn Jr. Elementary",46,48,0
"Suffolk City Public Schools","Nansemond Parkway Elementary",43,53,0
"Suffolk City Public Schools","Nansemond River High",42,53,3
"Suffolk City Public Schools","Northern Shores Elementary",44,51,2
"Suffolk City Public Schools","Oakland Elementary",41,54,0
"Suffolk City Public Schools","Southwestern Elementary",35,60,0
"Surry County Public Schools","Luther P. Jackson Middle",37,63,0
"Surry County Public Schools","Surry County High",25,70,3
"Surry County Public Schools","Surry Elementary",38,59,0
"Sussex County Public Schools","Sussex Central Elementary",43,55,0
"Sussex County Public Schools","Sussex Central High",46,51,0
"Sussex County Public Schools","Sussex Central Middle",28,68,4
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",77,23,0
"Tazewell County Public Schools","Cedar Bluff Elementary",59,41,0
"Tazewell County Public Schools","Dudley Primary",75,25,0
"Tazewell County Public Schools","Graham High",41,57,0
"Tazewell County Public Schools","Graham Intermediate",57,43,0
"Tazewell County Public Schools","Graham Middle",59,38,3
"Tazewell County Public Schools","Richlands Elementary",71,24,0
"Tazewell County Public Schools","Richlands High",64,35,0
"Tazewell County Public Schools","Richlands Middle",60,40,0
"Tazewell County Public Schools","Tazewell High",44,56,0
"Tazewell County Public Schools","Tazewell Intermediate",59,41,0
"Tazewell County Public Schools","Tazewell Middle",51,44,3
"Tazewell County Public Schools","Tazewell Primary",38,62,0
"Virginia Beach City Public Schools","Alanton Elementary",41,57,2
"Virginia Beach City Public Schools","Arrowhead Elementary",44,53,2
"Virginia Beach City Public Schools","Bayside 6th Grade Campus",40,58,0
"Virginia Beach City Public Schools","Bayside Elementary",47,53,0
"Virginia Beach City Public Schools","Bayside High",50,44,5
"Virginia Beach City Public Schools","Bayside Middle",41,52,3
"Virginia Beach City Public Schools","Birdneck Elementary",50,48,0
"Virginia Beach City Public Schools","Brandon Middle",50,45,2
"Virginia Beach City Public Schools","Brookwood Elementary",39,59,0
"Virginia Beach City Public Schools","Centerville Elementary",46,54,0
"Virginia Beach City Public Schools","Christopher Farms Elementary",31,69,0
"Virginia Beach City Public Schools","College Park Elementary",37,54,2
"Virginia Beach City Public Schools","Corporate Landing Elementary",33,65,0
"Virginia Beach City Public Schools","Corporate Landing Middle",34,61,2
"Virginia Beach City Public Schools","Creeds Elementary",29,68,0
"Virginia Beach City Public Schools","Diamond Springs Elementary",50,48,0
"Virginia Beach City Public Schools","Fairfield Elementary",45,55,0
"Virginia Beach City Public Schools","First Colonial High",45,48,4
"Virginia Beach City Public Schools","Floyd Kellam High",45,51,3
"Virginia Beach City Public Schools","Frank W. Cox High",41,54,4
"Virginia Beach City Public Schools","Glenwood Elementary",37,59,0
"Virginia Beach City Public Schools","Great Neck Middle",48,51,1
"Virginia Beach City Public Schools","Green Run Collegiate",40,50,8
"Virginia Beach City Public Schools","Green Run Elementary",34,61,0
"Virginia Beach City Public Schools","Green Run High",44,50,0
"Virginia Beach City Public Schools","Hermitage Elementary",39,59,0
"Virginia Beach City Public Schools","Holland Elementary",41,49,6
"Virginia Beach City Public Schools","Independence Middle",43,57,0
"Virginia Beach City Public Schools","Indian Lakes Elementary",50,45,2
"Virginia Beach City Public Schools","John B. Dey Elementary",44,54,2
"Virginia Beach City Public Schools","Kempsville Elementary",45,53,0
"Virginia Beach City Public Schools","Kempsville High",44,51,2
"Virginia Beach City Public Schools","Kempsville Meadows Elementary",32,64,0
"Virginia Beach City Public Schools","Kempsville Middle",48,44,3
"Virginia Beach City Public Schools","King's Grant Elementary",45,53,0
"Virginia Beach City Public Schools","Kingston Elementary",43,54,3
"Virginia Beach City Public Schools","Landstown Elementary",45,55,0
"Virginia Beach City Public Schools","Landstown High",37,59,3
"Virginia Beach City Public Schools","Landstown Middle",45,52,2
"Virginia Beach City Public Schools","Larkspur Middle",41,56,0
"Virginia Beach City Public Schools","Linkhorn Park Elementary",47,49,0
"Virginia Beach City Public Schools","Luxford Elementary",50,50,0
"Virginia Beach City Public Schools","Lynnhaven Elementary",35,57,5
"Virginia Beach City Public Schools","Lynnhaven Middle",49,50,1
"Virginia Beach City Public Schools","Malibu Elementary",49,49,3
"Virginia Beach City Public Schools","New Castle Elementary",40,60,0
"Virginia Beach City Public Schools","Newtown Elementary",33,64,0
"Virginia Beach City Public Schools","North Landing Elementary",52,45,3
"Virginia Beach City Public Schools","Ocean Lakes Elementary",41,51,3
"Virginia Beach City Public Schools","Ocean Lakes High",45,51,1
"Virginia Beach City Public Schools","Old Donation School",41,53,3
"Virginia Beach City Public Schools","Parkway Elementary",35,65,0
"Virginia Beach City Public Schools","Pembroke Elementary",37,56,2
"Virginia Beach City Public Schools","Pembroke Meadows Elementary",49,44,7
"Virginia Beach City Public Schools","Plaza Middle",39,58,1
"Virginia Beach City Public Schools","Point O' View Elementary",35,62,0
"Virginia Beach City Public Schools","Princess Anne Elementary",33,64,0
"Virginia Beach City Public Schools","Princess Anne High",40,58,1
"Virginia Beach City Public Schools","Princess Anne Middle",49,48,1
"Virginia Beach City Public Schools","Providence Elementary",41,51,2
"Virginia Beach City Public Schools","Red Mill Elementary",45,50,2
"Virginia Beach City Public Schools","Rosemont Elementary",50,48,0
"Virginia Beach City Public Schools","Rosemont Forest Elementary",35,57,0
"Virginia Beach City Public Schools","Salem Elementary",28,69,3
"Virginia Beach City Public Schools","Salem High",50,44,2
"Virginia Beach City Public Schools","Salem Middle",57,41,1
"Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",41,50,6
"Virginia Beach City Public Schools","Shelton Park Elementary",39,61,0
"Virginia Beach City Public Schools","Strawbridge Elementary",51,45,0
"Virginia Beach City Public Schools","Tallwood Elementary",46,46,3
"Virginia Beach City Public Schools","Tallwood High",49,49,1
"Virginia Beach City Public Schools","Thalia Elementary",43,55,3
"Virginia Beach City Public Schools","Thoroughgood Elementary",25,69,2
"Virginia Beach City Public Schools","Three Oaks Elementary",50,44,2
"Virginia Beach City Public Schools","Trantwood Elementary",32,58,3
"Virginia Beach City Public Schools","Virginia Beach Middle",48,45,3
"Virginia Beach City Public Schools","W.T. Cooke Elementary",38,62,0
"Virginia Beach City Public Schools","White Oaks Elementary",42,52,0
"Virginia Beach City Public Schools","Williams Elementary",50,47,0
"Virginia Beach City Public Schools","Windsor Oaks Elementary",47,51,2
"Virginia Beach City Public Schools","Windsor Woods Elementary",58,35,0
"Virginia Beach City Public Schools","Woodstock Elementary",42,58,0
"Warren County Public Schools","A.S. Rhodes Elementary",52,43,0
"Warren County Public Schools","E. Wilson Morrison Elementary",60,35,0
"Warren County Public Schools","Hilda J. Barbour Elementary",54,44,0
"Warren County Public Schools","Leslie Fox Keyser Elementary",52,39,0
"Warren County Public Schools","Ressie Jeffries Elementary",53,45,0
"Warren County Public Schools","Skyline High",53,40,1
"Warren County Public Schools","Skyline Middle",66,34,0
"Warren County Public Schools","Warren County High",52,41,1
"Warren County Public Schools","Warren County Middle",60,40,0
"Washington County Public Schools","Abingdon Elementary",40,57,0
"Washington County Public Schools","Abingdon High",44,51,1
"Washington County Public Schools","Damascus Middle",39,57,0
"Washington County Public Schools","E.B. Stanley Middle",54,41,4
"Washington County Public Schools","Glade Spring Middle",55,39,0
"Washington County Public Schools","Greendale Elementary",59,38,0
"Washington County Public Schools","High Point Elementary",71,21,2
"Washington County Public Schools","Holston High",52,48,0
"Washington County Public Schools","John S. Battle High",42,50,2
"Washington County Public Schools","Meadowview Elementary",50,44,0
"Washington County Public Schools","Patrick Henry High",38,54,0
"Washington County Public Schools","Rhea Valley Elementary",42,55,0
"Washington County Public Schools","Valley Institute Elementary",64,30,0
"Washington County Public Schools","Wallace Middle",60,33,0
"Washington County Public Schools","Watauga Elementary",53,35,7
"Waynesboro City Public Schools","Berkeley Glenn Elementary ",42,54,0
"Waynesboro City Public Schools","Kate Collins Middle ",53,45,0
"Waynesboro City Public Schools","Waynesboro High ",46,53,0
"Waynesboro City Public Schools","Wenonah Elementary ",36,61,0
"Waynesboro City Public Schools","Westwood Hills Elementary ",47,53,0
"Waynesboro City Public Schools","William Perry Elementary ",37,63,0
"West Point Public Schools","West Point Elementary",45,52,0
"West Point Public Schools","West Point Middle/High",40,60,0
"Westmoreland County Public Schools","Cople Elementary",49,38,0
"Westmoreland County Public Schools","Montross Middle",53,48,0
"Westmoreland County Public Schools","Washington & Lee High",40,53,0
"Westmoreland County Public Schools","Washington District Elementary",55,43,0
"Williamsburg-James City County Public Schools","Berkeley Middle",29,67,2
"Williamsburg-James City County Public Schools","Clara Byrd Baker Elementary",30,68,0
"Williamsburg-James City County Public Schools","D.J. Montague Elementary",41,52,0
"Williamsburg-James City County Public Schools","J. Blaine Blayton Elementary",40,53,3
"Williamsburg-James City County Public Schools","James Blair Middle",35,58,0
"Williamsburg-James City County Public Schools","James River Elementary",28,64,2
"Williamsburg-James City County Public Schools","Jamestown High",33,59,4
"Williamsburg-James City County Public Schools","Lafayette High",33,60,4
"Williamsburg-James City County Public Schools","Laurel Lane Elementary",22,73,4
"Williamsburg-James City County Public Schools","Lois Hornsby Middle",34,60,1
"Williamsburg-James City County Public Schools","Matoaka Elementary",33,60,0
"Williamsburg-James City County Public Schools","Matthew Whaley Elementary",30,63,2
"Williamsburg-James City County Public Schools","Norge Elementary",33,58,0
"Williamsburg-James City County Public Schools","Stonehouse Elementary",26,67,0
"Williamsburg-James City County Public Schools","Toano Middle",33,61,0
"Williamsburg-James City County Public Schools","Warhill High",28,63,3
"Winchester City Public Schools","Daniel Morgan Intermediate",30,63,7
"Winchester City Public Schools","Daniel Morgan Middle",37,60,3
"Winchester City Public Schools","Frederick Douglass Elementary",32,61,0
"Winchester City Public Schools","Garland R. Quarles Elementary",44,51,2
"Winchester City Public Schools","John Handley High",22,71,2
"Winchester City Public Schools","John Kerr Elementary",28,70,2
"Winchester City Public Schools","Virginia Avenue Charlotte Dehart Elementary ",26,70,5
"Wise County Public Schools","Central High",49,49,2
"Wise County Public Schools","Coeburn Middle",48,42,3
"Wise County Public Schools","Coeburn Primary",56,33,3
"Wise County Public Schools","Eastside High",45,48,0
"Wise County Public Schools","J.W. Adams Combined",60,33,2
"Wise County Public Schools","L.F. Addington Middle",65,28,0
"Wise County Public Schools","St. Paul Elementary",52,37,4
"Wise County Public Schools","Union High",54,39,0
"Wise County Public Schools","Union Middle",53,45,0
"Wise County Public Schools","Union Primary",66,29,0
"Wise County Public Schools","Wise Primary",56,42,0
"Wythe County Public Schools","Fort Chiswell High",67,26,0
"Wythe County Public Schools","Fort Chiswell Middle",57,43,0
"Wythe County Public Schools","George Wythe High",61,32,0
"Wythe County Public Schools","Jackson Memorial Elementary",67,29,0
"Wythe County Public Schools","Max Meadows Elementary",50,50,0
"Wythe County Public Schools","Rural Retreat Elementary",68,29,0
"Wythe County Public Schools","Rural Retreat High",59,28,0
"Wythe County Public Schools","Rural Retreat Middle",62,38,0
"Wythe County Public Schools","Scott Memorial Middle",68,26,0
"Wythe County Public Schools","Sheffey Elementary",50,45,0
"Wythe County Public Schools","Speedwell Elementary",60,33,0
"Wythe County Public Schools","Spiller Elementary",63,33,0
"York County Public Schools","Bethel Manor Elementary",32,64,2
"York County Public Schools","Bruton High",30,64,4
"York County Public Schools","Coventry Elementary",31,64,0
"York County Public Schools","Dare Elementary",24,70,3
"York County Public Schools","Grafton Bethel Elementary",40,60,0
"York County Public Schools","Grafton High",24,70,4
"York County Public Schools","Grafton Middle",42,56,1
"York County Public Schools","Magruder Elementary",33,67,0
"York County Public Schools","Mount Vernon Elementary ",32,63,0
"York County Public Schools","Queens Lake Middle",31,63,2
"York County Public Schools","Seaford Elementary",46,49,0
"York County Public Schools","Tabb Elementary",36,57,0
"York County Public Schools","Tabb High",31,65,2
"York County Public Schools","Tabb Middle",31,64,1
"York County Public Schools","Waller Mill Elementary",33,63,0
"York County Public Schools","York High",34,61,5
"York County Public Schools","York River Academy",41,59,0
"York County Public Schools","Yorktown Elementary",46,50,0
"York County Public Schools","Yorktown Middle",33,64,2
