"Division","School","Title1.Code","Percent.of.Inexperienced.Teachers","Percent.of.Out.of.Field.Teachers"
"Prince William County Public Schools","Enterprise Elementary","Title I",8.1,0
"Prince William County Public Schools","Fannie W. Fitzgerald Elementary","Title I",6.1,4.5
"Prince William County Public Schools","Featherstone Elementary","Title I",0,2.2
"Prince William County Public Schools","Forest Park High","Non-Title I",2.2,2.9
"Prince William County Public Schools","Fred M. Lynn Middle","Title I",6.7,4.8
"Prince William County Public Schools","Freedom High ","Title I",6,5.3
"Prince William County Public Schools","Gainesville Middle","Non-Title I",2.1,7.4
"Prince William County Public Schools","Gar-Field High","Non-Title I",6.5,3.9
"Prince William County Public Schools","George G. Tyler Elementary","Non-Title I",0,0
"Prince William County Public Schools","George M. Hampton Middle","Title I",3.8,10.1
"Prince William County Public Schools","George P. Mullen Elementary","Title I",4.3,2.9
"Prince William County Public Schools","Glenkirk Elementary","Non-Title I",2,2
"Prince William County Public Schools","Graham Park Middle","Non-Title I",7,9.9
"Prince William County Public Schools","Haymarket Elementary","Non-Title I",0,3.6
"Prince William County Public Schools","Herbert J. Saunders Middle","Non-Title I",7.1,3.6
"Prince William County Public Schools","J.W. Alvey Elementary","Non-Title I",0,0
"Prince William County Public Schools","John D. Jenkins Elementary","Title I",2,5.9
"Prince William County Public Schools","John F. Pattie Sr. Elementary","Non-Title I",4.8,3.2
"Prince William County Public Schools","Kerrydale Elementary","Title I",5.4,10.8
"Prince William County Public Schools","Kyle R. Wilson Elementary","Non-Title I",4.8,0
"Prince William County Public Schools","Lake Ridge Elementary","Non-Title I",6,0
"Prince William County Public Schools","Lake Ridge Middle","Non-Title I",3,4
"Prince William County Public Schools","Leesylvania Elementary","Non-Title I",5.3,3.5
"Prince William County Public Schools","Loch Lomond Elementary","Title I",7.4,1.9
"Prince William County Public Schools","Louise A. Benton Middle","Non-Title I",1,3.1
"Prince William County Public Schools","Martin Luther King Jr. Elementary","Non-Title I",2.8,0
"Prince William County Public Schools","Marumsco Hills Elementary","Title I",7.8,0
"Prince William County Public Schools","Mary G. Porter Traditional","Non-Title I",2.3,14
"Prince William County Public Schools","Mary Williams Elementary ","Non-Title I",7.3,7.3
"Prince William County Public Schools","Minnieville Elementary","Title I",1.9,1.9
"Prince William County Public Schools","Montclair Elementary","Non-Title I",7.5,3.8
"Prince William County Public Schools","Mountain View Elementary","Non-Title I",2.5,2.5
"Prince William County Public Schools","Neabsco Elementary","Title I",6.7,1.7
"Prince William County Public Schools","Occoquan Elementary","Title I",5.7,3.8
"Prince William County Public Schools","Old Bridge Elementary","Non-Title I",0,0
"Prince William County Public Schools","Osbourn Park High","Non-Title I",7.4,6.2
"Prince William County Public Schools","Parkside Middle","Non-Title I",10.5,11.4
"Prince William County Public Schools","Patriot High","Non-Title I",2.2,7.7
"Prince William County Public Schools","Pennington Traditional","Non-Title I",4.3,0
"Prince William County Public Schools","Piney Branch Elementary","Non-Title I",0,0
"Prince William County Public Schools","Potomac High","Non-Title I",1.5,13.1
"Prince William County Public Schools","Potomac Middle","Non-Title I",3.3,3.3
"Prince William County Public Schools","Potomac View Elementary","Title I",1.9,0
"Prince William County Public Schools","R. Dean Kilby Elementary","Title I",9.8,0
"Prince William County Public Schools","Rippon Middle","Non-Title I",5.4,2.2
"Prince William County Public Schools","River Oaks Elementary","Title I",3.8,3.8
"Prince William County Public Schools","Rockledge Elementary","Non-Title I",7.3,0
"Prince William County Public Schools","Ronald Wilson Reagan Middle","Non-Title I",2.2,1.1
"Prince William County Public Schools","Rosa Parks Elementary","Non-Title I",2,4.1
"Prince William County Public Schools","Samuel L. Gravely Jr. Elementary","Non-Title I",1.9,0
"Prince William County Public Schools","Sharon C. McAuliffe Elementary","Title I",5.1,2.6
"Prince William County Public Schools","Signal Hill Elementary","Non-Title I",6,4
"Prince William County Public Schools","Sonnie Penn Elementary","Non-Title I",6.3,4.2
"Prince William County Public Schools","Springwoods Elementary","Non-Title I",1.9,0
"Prince William County Public Schools","Stuart M. Beville Middle","Non-Title I",1.3,1.3
"Prince William County Public Schools","Sudley Elementary","Title I",5.4,1.8
"Prince William County Public Schools","Suella G. Ellis Elementary","Title I",4.4,0
"Prince William County Public Schools","Swans Creek Elementary","Title I",15.4,11.5
"Prince William County Public Schools","T. Clay Wood Elementary","Non-Title I",1.7,0
"Prince William County Public Schools","The Nokesville School","Non-Title I",2.8,0
"Prince William County Public Schools","Thurgood Marshall Elementary","Non-Title I",2.1,2.1
"Prince William County Public Schools","Triangle Elementary","Title I",4.8,1.6
"Prince William County Public Schools","Unity Braxton Middle ","Title I",4.7,2.3
"Prince William County Public Schools","Unity Reed High","Non-Title I",3.4,6.7
"Prince William County Public Schools","Victory Elementary","Non-Title I",0,0
"Prince William County Public Schools","West Gate Elementary","Title I",4.8,0
"Prince William County Public Schools","Westridge Elementary","Non-Title I",0,0
"Prince William County Public Schools","Woodbridge High","Non-Title I",4.6,4
"Prince William County Public Schools","Woodbridge Middle","Non-Title I",1.1,8
"Prince William County Public Schools","Yorkshire Elementary","Title I",0,1.5
"Pulaski County Public Schools","Critzer Elementary","Title I",7.8,0
"Pulaski County Public Schools","Dublin Elementary","Title I",4,0
"Pulaski County Public Schools","Pulaski County Senior High","Non-Title I",10.9,3.6
"Pulaski County Public Schools","Pulaski Elementary ","Title I",2,0
"Pulaski County Public Schools","Riverlawn Elementary","Title I",0,0
"Pulaski County Public Schools","Snowville Elementary","Non-Title I",0,2.9
"Radford City Public Schools","Belle Heth Elementary","Title I",0,0
"Radford City Public Schools","John N. Dalton Intermediate","Non-Title I",5.1,1.7
"Radford City Public Schools","McHarg Elementary","Title I",6.3,0
"Radford City Public Schools","Radford High","Non-Title I",3.8,3.8
"Rappahannock County Public Schools","Rappahannock County Elementary","Title I",2.3,2.3
"Rappahannock County Public Schools","Rappahannock County High","Non-Title I",0,5.3
"Richmond City Public Schools","Albert Hill Middle","Title I",0,5.8
"Richmond City Public Schools","Amelia Street Special Education","Title I",0,0
"Richmond City Public Schools","Armstrong High ","Title I",0,1.6
"Richmond City Public Schools","Barack Obama Elementary","Title I",0,0
"Richmond City Public Schools","Bellevue Elementary","Title I",0,0
"Richmond City Public Schools","Binford Middle","Title I",0,0
"Richmond City Public Schools","Blackwell Elementary","Title I",0,3
"Richmond City Public Schools","Broad Rock Elementary","Title I",0,0
"Richmond City Public Schools","Cardinal Elementary","Title I",0,0
"Richmond City Public Schools","Chimborazo Elementary","Title I",0,0
"Richmond City Public Schools","Elizabeth D. Redd Elementary","Title I",0,0
"Richmond City Public Schools","Fairfield Court Elementary","Title I",0,0
"Richmond City Public Schools","Franklin Military Academy","Title I",0,2.8
"Richmond City Public Schools","G.H. Reid Elementary","Title I",0,0
"Richmond City Public Schools","George W. Carver Elementary","Title I",0,3
"Richmond City Public Schools","George Wythe High","Title I",0,2.4
"Richmond City Public Schools","Ginter Park Elementary","Title I",0,0
"Richmond City Public Schools","Henderson Middle","Title I",0,4
"Richmond City Public Schools","Henry Marsh III Elementary","Title I",0,3.3
"Richmond City Public Schools","Huguenot High","Title I",0,3.4
"Richmond City Public Schools","J.B. Fisher Elementary","Title I",0,0
"Richmond City Public Schools","J.L. Francis Elementary","Title I",0,0
"Richmond City Public Schools","John B. Cary Elementary","Title I",0,4.5
"Richmond City Public Schools","John Marshall High","Title I",0,0
"Richmond City Public Schools","Linwood Holton Elementary","Non-Title I",0,5.6
"Richmond City Public Schools","Lucille M. Brown Middle","Title I",0,5.6
"Richmond City Public Schools","Martin Luther King Jr. Middle ","Title I",0,10.9
"Richmond City Public Schools","Mary Munford Elementary","Non-Title I",0,0
"Richmond City Public Schools","Miles Jones Elementary","Title I",0,5
"Richmond City Public Schools","Oak Grove/Bellemeade Elementary","Title I",0,4.3
"Richmond City Public Schools","Open High","Non-Title I",0,0
"Richmond City Public Schools","Overby-Sheppard Elementary","Title I",0,0
"Richmond City Public Schools","Richmond Community High","Non-Title I",0,9.1
"Richmond City Public Schools","River City Middle","Title I",0,4.9
"Richmond City Public Schools","Southampton Elementary","Title I",0,3.2
"Richmond City Public Schools","Swansboro Elementary","Title I",0,0
"Richmond City Public Schools","Thomas C. Boushall Middle","Title I",0,1.8
"Richmond City Public Schools","Thomas Jefferson High","Title I",0,0
"Richmond City Public Schools","Westover Hills Elementary","Title I",0,0
"Richmond City Public Schools","William Fox Elementary","Non-Title I",0,3.3
"Richmond City Public Schools","Woodville Elementary","Title I",0,7.1
"Richmond County Public Schools","Rappahannock High","Non-Title I",2.5,0
"Richmond County Public Schools","Richmond County Elementary","Title I",10.5,0
"Roanoke City Public Schools","Addison Aerospace Magnet Middle","Title I",10.9,1.8
"Roanoke City Public Schools","Breckinridge Middle","Title I",13,1.9
"Roanoke City Public Schools","Crystal Spring Elementary","Non-Title I",0,0
"Roanoke City Public Schools","Fairview Elementary","Title I",0,0
"Roanoke City Public Schools","Fallon Park Elementary","Title I",3.8,0
"Roanoke City Public Schools","Fishburn Park Elementary","Title I",0,0
"Roanoke City Public Schools","Garden City Elementary","Title I",0,0
"Roanoke City Public Schools","Grandin Court Elementary","Non-Title I",0,0
"Roanoke City Public Schools","Highland Park Elementary","Title I",7.7,0
"Roanoke City Public Schools","Hurt Park Elementary","Title I",8.6,2.9
"Roanoke City Public Schools","James Madison Middle","Non-Title I",6,2
"Roanoke City Public Schools","John P. Fishwick Middle","Title I",2.1,2.1
"Roanoke City Public Schools","Lincoln Terrace Elementary","Title I",0,2.8
"Roanoke City Public Schools","Monterey Elementary","Title I",5.1,0
"Roanoke City Public Schools","Morningside Elementary","Title I",0,0
"Roanoke City Public Schools","Patrick Henry High","Non-Title I",1.5,1.5
"Roanoke City Public Schools","Preston Park Elementary","Title I",2.7,0
"Roanoke City Public Schools","Roanoke Academy For Mathematics & Science Elementary","Title I",0,0
"Roanoke City Public Schools","Round Hill Elementary","Title I",1.6,1.6
"Roanoke City Public Schools","Virginia Heights Elementary","Title I",0,0
"Roanoke City Public Schools","Wasena Elementary","Title I",3.8,0
"Roanoke City Public Schools","Westside Elementary","Title I",3.7,0
"Roanoke City Public Schools","William Fleming High","Title I",5.5,2.3
"Roanoke City Public Schools","Woodrow Wilson Middle","Non-Title I",10,4
"Roanoke County Public Schools","Back Creek Elementary","Non-Title I",14.3,0
"Roanoke County Public Schools","Bonsack Elementary","Non-Title I",3.2,0
"Roanoke County Public Schools","Burlington Elementary","Title I",3,0
"Roanoke County Public Schools","Cave Spring Elementary","Non-Title I",5.3,0
"Roanoke County Public Schools","Cave Spring High","Non-Title I",7.5,0
"Roanoke County Public Schools","Cave Spring Middle","Non-Title I",4.3,0
"Roanoke County Public Schools","Clearbrook Elementary","Non-Title I",3.3,0
"Roanoke County Public Schools","Fort Lewis Elementary","Non-Title I",0,0
"Roanoke County Public Schools","Glen Cove Elementary","Non-Title I",6.1,0
"Roanoke County Public Schools","Glenvar Elementary","Non-Title I",3.8,0
"Roanoke County Public Schools","Glenvar High","Non-Title I",1.7,0
"Roanoke County Public Schools","Glenvar Middle","Non-Title I",4.2,0
"Roanoke County Public Schools","Green Valley Elementary","Non-Title I",2.6,0
"Roanoke County Public Schools","Herman L. Horn Elementary","Title I",2.9,0
"Roanoke County Public Schools","Hidden Valley High","Non-Title I",6,0
"Roanoke County Public Schools","Hidden Valley Middle","Non-Title I",3.8,0
"Roanoke County Public Schools","Mason's Cove Elementary","Title I",4.3,0
"Roanoke County Public Schools","Mount Pleasant Elementary","Title I",0,0
"Roanoke County Public Schools","Mountain View Elementary","Title I",6.5,0
"Roanoke County Public Schools","Northside High","Non-Title I",5.1,0
"Roanoke County Public Schools","Northside Middle","Non-Title I",3.2,0
"Roanoke County Public Schools","Oak Grove Elementary","Non-Title I",3.3,0
"Roanoke County Public Schools","Penn Forest Elementary","Non-Title I",5.9,0
"Roanoke County Public Schools","W.E. Cundiff Elementary","Title I",4.5,0
"Roanoke County Public Schools","William Byrd High","Non-Title I",7.8,0
"Roanoke County Public Schools","William Byrd Middle","Non-Title I",3.9,0
"Rockbridge County Public Schools","Central Elementary","Title I",0,0
"Rockbridge County Public Schools","Fairfield Elementary","Title I",0,0
"Rockbridge County Public Schools","Maury River Middle","Non-Title I",5.1,6.8
"Rockbridge County Public Schools","Mountain View Elementary","Title I",0,0
"Rockbridge County Public Schools","Natural Bridge Elementary","Title I",0,0
"Rockbridge County Public Schools","Rockbridge County High","Non-Title I",3.8,6.3
"Rockingham County Public Schools","Broadway High","Non-Title I",5.3,2.7
"Rockingham County Public Schools","Cub Run Elementary","Title I",0,2
"Rockingham County Public Schools","East Rockingham High","Non-Title I",1.8,3.6
"Rockingham County Public Schools","Elkton Elementary","Title I",3.7,0
"Rockingham County Public Schools","Elkton Middle","Non-Title I",6.5,6.5
"Rockingham County Public Schools","Fulks Run Elementary","Title I",4.8,0
"Rockingham County Public Schools","J. Frank Hillyard Middle","Non-Title I",3.3,3.3
"Rockingham County Public Schools","John C. Myers Elementary","Title I",2.6,5.1
"Rockingham County Public Schools","John W. Wayland Elementary","Non-Title I",7.3,2.4
"Rockingham County Public Schools","Lacey Spring Elementary","Title I",4.2,0
"Rockingham County Public Schools","Linville-Edom Elementary","Title I",4.8,0
"Rockingham County Public Schools","McGaheysville Elementary","Title I",0,0
"Rockingham County Public Schools","Montevideo Middle","Non-Title I",1.8,0
"Rockingham County Public Schools","Mountain View Elementary","Title I",2.6,0
"Rockingham County Public Schools","Ottobine Elementary","Title I",8.7,8.7
"Rockingham County Public Schools","Peak View Elementary","Non-Title I",0,2.7
"Rockingham County Public Schools","Plains Elementary","Title I",5.9,2.9
"Rockingham County Public Schools","Pleasant Valley Elementary","Title I",3.7,0
"Rockingham County Public Schools","River Bend Elementary","Title I",6.3,3.1
"Rockingham County Public Schools","South River Elementary","Title I",7.4,0
"Rockingham County Public Schools","Spotswood High","Non-Title I",0,1.4
"Rockingham County Public Schools","Turner Ashby High","Non-Title I",2.6,1.3
"Rockingham County Public Schools","Wilbur S. Pence Middle","Non-Title I",1.7,0
"Russell County Public Schools","Belfast Elementary","Title I",0,0
"Russell County Public Schools","Castlewood Elementary","Title I",20.6,0
"Russell County Public Schools","Castlewood High","Non-Title I",6.1,6.1
"Russell County Public Schools","Copper Creek Elementary","Title I",9.1,0
"Russell County Public Schools","Honaker Elementary","Title I",1.9,1.9
"Russell County Public Schools","Honaker High","Non-Title I",2.6,0
"Russell County Public Schools","Lebanon Elementary","Title I",0,0
"Russell County Public Schools","Lebanon High","Non-Title I",6.3,4.2
"Russell County Public Schools","Lebanon Middle","Title I",10.7,7.1
"Russell County Public Schools","Lebanon Primary","Title I",8.7,0
"Russell County Public Schools","Swords Creek Elementary","Title I",20,6.7
"Salem City Public Schools","Andrew Lewis Middle","Non-Title I",0,8.6
"Salem City Public Schools","East Salem Elementary","Title I",2.6,5.1
"Salem City Public Schools","G.W. Carver Elementary","Title I",5.1,2.6
"Salem City Public Schools","Salem High","Non-Title I",2,11.2
"Salem City Public Schools","South Salem Elementary","Non-Title I",0,5.7
"Salem City Public Schools","West Salem Elementary","Non-Title I",0,8.3
"Scott County Public Schools","Duffield-Pattonsville Primary","Title I",4.2,4.2
"Scott County Public Schools","Dungannon Intermediate","Title I",0,28.6
"Scott County Public Schools","Fort Blackmore Primary","Title I",11.1,11.1
"Scott County Public Schools","Gate City High","Non-Title I",6.5,4.3
"Scott County Public Schools","Gate City Middle","Non-Title I",9.1,12.1
"Scott County Public Schools","Hilton Elementary","Title I",5.9,11.8
"Scott County Public Schools","Nickelsville Elementary","Title I",0,4.8
"Scott County Public Schools","Rye Cove High","Non-Title I",0,12
"Scott County Public Schools","Rye Cove Intermediate","Title I",0,15.4
"Scott County Public Schools","Shoemaker Elementary","Title I",4.9,0
"Scott County Public Schools","Twin Springs High","Non-Title I",3.6,17.9
"Scott County Public Schools","Weber City Elementary","Title I",0,0
"Scott County Public Schools","Yuma Elementary","Title I",0,0
"Shenandoah County Public Schools","Central High","Non-Title I",3,7.6
"Shenandoah County Public Schools","Honey Run Elementary","Title I",4.1,2
"Shenandoah County Public Schools","Mountain View High","Non-Title I",3.8,7.7
"Shenandoah County Public Schools","North Fork Middle","Non-Title I",8.1,5.4
"Shenandoah County Public Schools","Peter Muhlenberg Middle","Non-Title I",0,2.1
"Shenandoah County Public Schools","Sandy Hook Elementary","Title I",7.9,0
"Shenandoah County Public Schools","Signal Knob Middle","Non-Title I",2.2,4.3
"Shenandoah County Public Schools","Strasburg High","Non-Title I",7.1,1.8
"Shenandoah County Public Schools","W.W. Robinson Elementary","Title I",6.3,0
"Smyth County Public Schools","Atkins Elementary","Title I",17.4,4.3
"Smyth County Public Schools","Chilhowie Elementary","Title I",2.1,2.1
"Smyth County Public Schools","Chilhowie High","Non-Title I",0,11.8
"Smyth County Public Schools","Chilhowie Middle","Non-Title I",0,11.5
"Smyth County Public Schools","Marion Elementary","Title I",3.2,0
"Smyth County Public Schools","Marion Middle","Non-Title I",6.4,17
"Smyth County Public Schools","Marion Senior High","Non-Title I",6.7,13.3
"Smyth County Public Schools","Northwood High","Non-Title I",3.7,14.8
"Smyth County Public Schools","Northwood Middle","Non-Title I",0,16.7
"Smyth County Public Schools","Oak Point Elementary","Title I",5.4,2.7
"Smyth County Public Schools","Rich Valley Elementary","Title I",0,0
"Smyth County Public Schools","Saltville Elementary","Title I",0,0
"Smyth County Public Schools","Sugar Grove Elementary","Title I",17.6,5.9
"Southampton County Public Schools","Capron Elementary","Title I",0,4.3
"Southampton County Public Schools","Meherrin Elementary","Title I",3.7,14.8
"Southampton County Public Schools","Nottoway Elementary","Title I",7.1,17.9
"Southampton County Public Schools","Riverdale Elementary","Title I",2.4,7.3
"Southampton County Public Schools","Southampton High","Non-Title I",7.1,32.1
"Southampton County Public Schools","Southampton Middle","Non-Title I",2.1,23.4
"Spotsylvania County Public Schools","Battlefield Elementary","Title I",8.7,4.3
"Spotsylvania County Public Schools","Battlefield Middle","Non-Title I",5.2,5.2
"Spotsylvania County Public Schools","Berkeley Elementary","Title I",0,3.2
"Spotsylvania County Public Schools","Brock Road Elementary","Non-Title I",5.1,0
"Spotsylvania County Public Schools","Cedar Forest Elementary","Title I",8.6,0
"Spotsylvania County Public Schools","Chancellor Elementary","Non-Title I",6.3,3.1
"Spotsylvania County Public Schools","Chancellor High","Non-Title I",12.8,9.6
"Spotsylvania County Public Schools","Chancellor Middle","Non-Title I",3,6.1
"Spotsylvania County Public Schools","Courthouse Road Elementary","Non-Title I",5.8,5.8
"Spotsylvania County Public Schools","Courtland Elementary","Non-Title I",0,0
"Spotsylvania County Public Schools","Courtland High","Non-Title I",10.9,10.9
"Spotsylvania County Public Schools","Freedom Middle","Non-Title I",4.9,11.5
"Spotsylvania County Public Schools","Harrison Road Elementary","Title I",3.7,5.6
"Spotsylvania County Public Schools","Lee Hill Elementary","Title I",2.1,0
"Spotsylvania County Public Schools","Livingston Elementary","Title I",3.4,0
"Spotsylvania County Public Schools","Massaponax High","Non-Title I",3.9,5.5
"Spotsylvania County Public Schools","Ni River Middle","Non-Title I",9.4,10.9
"Spotsylvania County Public Schools","Parkside Elementary","Non-Title I",1.8,3.6
"Spotsylvania County Public Schools","Post Oak Middle","Non-Title I",12.5,8.9
"Spotsylvania County Public Schools","Riverbend High ","Non-Title I",5.9,3.4
"Spotsylvania County Public Schools","Riverview Elementary","Title I",0,0
"Spotsylvania County Public Schools","Salem Elementary","Title I",13,10.9
"Spotsylvania County Public Schools","Smith Station Elementary","Non-Title I",14,6
"Spotsylvania County Public Schools","Spotswood Elementary","Title I",20,5
"Spotsylvania County Public Schools","Spotsylvania Elementary","Non-Title I",7.7,2.6
"Spotsylvania County Public Schools","Spotsylvania High","Non-Title I",5.3,9.6
"Spotsylvania County Public Schools","Spotsylvania Middle","Non-Title I",13.6,4.5
"Spotsylvania County Public Schools","Thornburg Middle","Non-Title I",16.9,11.9
"Spotsylvania County Public Schools","Wilderness Elementary","Non-Title I",6.1,0
"Stafford County Public Schools","Andrew G. Wright Middle","Non-Title I",4.9,9.8
"Stafford County Public Schools","Anne E. Moncure Elementary","Title I",8.5,8.5
"Stafford County Public Schools","Anthony Burns Elementary","Title I",11.8,15.7
"Stafford County Public Schools","Brooke Point High","Non-Title I",5.8,16.8
"Stafford County Public Schools","Colonial Forge High","Non-Title I",4.3,13.5
"Stafford County Public Schools","Conway Elementary","Title I",4.3,2.2
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle","Non-Title I",7.7,9.6
"Stafford County Public Schools","Edward E. Drew Jr. Middle","Non-Title I",18.5,9.3
"Stafford County Public Schools","Falmouth Elementary","Title I",7.1,0
"Stafford County Public Schools","Ferry Farm Elementary","Title I",5.1,2.6
"Stafford County Public Schools","Grafton Village Elementary","Non-Title I",4.3,8.5
"Stafford County Public Schools","H.H. Poole Middle","Non-Title I",9.4,17.2
"Stafford County Public Schools","Hampton Oaks Elementary","Non-Title I",13,6.5
"Stafford County Public Schools","Hartwood Elementary","Non-Title I",10.5,0
"Stafford County Public Schools","Kate Waller Barrett Elementary","Title I",14.6,8.3
"Stafford County Public Schools","Margaret Brent Elementary ","Non-Title I",4.3,6.5
"Stafford County Public Schools","Mountain View High ","Non-Title I",5.9,19.1
"Stafford County Public Schools","North Stafford High","Non-Title I",6.8,11.6
"Stafford County Public Schools","Park Ridge Elementary","Non-Title I",12.5,10.4
"Stafford County Public Schools","Rockhill Elementary","Non-Title I",14.6,7.3
"Stafford County Public Schools","Rocky Run Elementary","Title I",6.3,6.3
"Stafford County Public Schools","Rodney E. Thompson Middle","Non-Title I",9.1,19.7
"Stafford County Public Schools","Shirley C. Heim Middle","Non-Title I",12.7,21.1
"Stafford County Public Schools","Stafford Elementary","Non-Title I",9.1,9.1
"Stafford County Public Schools","Stafford Middle","Non-Title I",20,21.4
"Stafford County Public Schools","Stafford Senior High","Non-Title I",7.4,8.7
"Stafford County Public Schools","T. Benton Gayle Middle","Non-Title I",11.9,7.5
"Stafford County Public Schools","Widewater Elementary","Title I",20,12.5
"Stafford County Public Schools","Winding Creek Elementary","Non-Title I",11.6,2.3
"Staunton City Public Schools","Arthur R. Ware Elementary","Title I",6.1,3
"Staunton City Public Schools","Bessie Weller Elementary","Title I",6.5,0
"Staunton City Public Schools","Shelburne Middle","Non-Title I",11.4,11.4
"Staunton City Public Schools","Staunton High","Non-Title I",1.6,3.2
"Staunton City Public Schools","Thomas C. McSwain Elementary","Title I",3.3,0
"Suffolk City Public Schools","Booker T. Washington Elementary","Title I",2.6,0
"Suffolk City Public Schools","Colonel Fred Cherry Middle","Non-Title I",1.8,0
"Suffolk City Public Schools","Creekside Elementary","Title I",0,0
"Suffolk City Public Schools","Elephant's Fork Elementary","Title I",2.1,0
"Suffolk City Public Schools","Florence Bowser Elementary","Non-Title I",2,0
"Suffolk City Public Schools","Forest Glen Middle","Non-Title I",0,7.3
"Suffolk City Public Schools","Hillpoint Elementary","Title I",5.4,0
"Suffolk City Public Schools","John F. Kennedy Middle","Non-Title I",1.8,5.3
"Suffolk City Public Schools","John Yeates Middle","Non-Title I",4.2,0
"Suffolk City Public Schools","Kilby Shores Elementary","Title I",5.3,0
"Suffolk City Public Schools","King's Fork High","Non-Title I",5.1,2.5
"Suffolk City Public Schools","King's Fork Middle","Non-Title I",1.2,2.4
"Suffolk City Public Schools","Lakeland High","Non-Title I",2.3,3.5
"Suffolk City Public Schools","Mack Benn Jr. Elementary","Title I",0,0
"Suffolk City Public Schools","Nansemond Parkway Elementary","Title I",0,0
"Suffolk City Public Schools","Nansemond River High","Non-Title I",0.9,1.7
"Suffolk City Public Schools","Northern Shores Elementary","Non-Title I",0,0
"Suffolk City Public Schools","Oakland Elementary","Title I",5.7,0
"Suffolk City Public Schools","Southwestern Elementary","Title I",0,2.5
"Surry County Public Schools","Luther P. Jackson Middle","Title I",0,7.1
"Surry County Public Schools","Surry County High","Non-Title I",2.7,8.1
"Surry County Public Schools","Surry Elementary","Title I",0,0
"Sussex County Public Schools","Sussex Central Elementary","Title I",2.4,2.4
"Sussex County Public Schools","Sussex Central High","Non-Title I",4.8,4.8
"Sussex County Public Schools","Sussex Central Middle","Title I",7.7,7.7
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary","Title I",10,10
"Tazewell County Public Schools","Cedar Bluff Elementary","Title I",0,0
"Tazewell County Public Schools","Dudley Primary","Title I",0,0
"Tazewell County Public Schools","Graham High","Non-Title I",2.4,11.9
"Tazewell County Public Schools","Graham Intermediate","Title I",4.8,4.8
"Tazewell County Public Schools","Graham Middle","Non-Title I",9.7,0
"Tazewell County Public Schools","Richlands Elementary","Title I",6.7,2.2
"Tazewell County Public Schools","Richlands High","Non-Title I",7.1,12.5
"Tazewell County Public Schools","Richlands Middle","Non-Title I",0,0
"Tazewell County Public Schools","Tazewell High","Non-Title I",2.2,6.7
"Tazewell County Public Schools","Tazewell Intermediate","Title I",8.7,4.3
"Tazewell County Public Schools","Tazewell Middle","Non-Title I",3.1,3.1
"Tazewell County Public Schools","Tazewell Primary","Title I",6.7,3.3
"Virginia Beach City Public Schools","Alanton Elementary","Non-Title I",6.1,0
"Virginia Beach City Public Schools","Arrowhead Elementary","Non-Title I",6.8,0
"Virginia Beach City Public Schools","Bayside 6th Grade Campus","Title I",5.8,0
"Virginia Beach City Public Schools","Bayside Elementary","Title I",9.8,0
"Virginia Beach City Public Schools","Bayside High","Non-Title I",3.3,0.7
"Virginia Beach City Public Schools","Bayside Middle","Title I",6.2,2.5
"Virginia Beach City Public Schools","Birdneck Elementary","Title I",5.8,0
"Virginia Beach City Public Schools","Brandon Middle","Non-Title I",3.5,1.2
"Virginia Beach City Public Schools","Brookwood Elementary","Title I",4.4,0
"Virginia Beach City Public Schools","Centerville Elementary","Non-Title I",0,0
"Virginia Beach City Public Schools","Christopher Farms Elementary","Non-Title I",7.5,2.5
"Virginia Beach City Public Schools","College Park Elementary","Title I",2.3,0
"Virginia Beach City Public Schools","Corporate Landing Elementary","Non-Title I",6.3,0
"Virginia Beach City Public Schools","Corporate Landing Middle","Non-Title I",2.2,2.2
"Virginia Beach City Public Schools","Creeds Elementary","Non-Title I",0,0
"Virginia Beach City Public Schools","Diamond Springs Elementary","Title I",6.4,0
"Virginia Beach City Public Schools","Fairfield Elementary","Non-Title I",7.3,0
"Virginia Beach City Public Schools","First Colonial High","Non-Title I",3.9,0
"Virginia Beach City Public Schools","Floyd Kellam High","Non-Title I",5.2,1.5
"Virginia Beach City Public Schools","Frank W. Cox High","Non-Title I",3.7,0.7
"Virginia Beach City Public Schools","Glenwood Elementary","Non-Title I",5.5,2.7
"Virginia Beach City Public Schools","Great Neck Middle","Non-Title I",2.5,0
"Virginia Beach City Public Schools","Green Run Collegiate","Non-Title I",0,0
"Virginia Beach City Public Schools","Green Run Elementary","Title I",17.6,0
"Virginia Beach City Public Schools","Green Run High","Non-Title I",3.6,2.7
"Virginia Beach City Public Schools","Hermitage Elementary","Non-Title I",4.7,0
"Virginia Beach City Public Schools","Holland Elementary","Title I",2.3,0
"Virginia Beach City Public Schools","Independence Middle","Non-Title I",6.5,0
"Virginia Beach City Public Schools","Indian Lakes Elementary","Non-Title I",2.4,2.4
"Virginia Beach City Public Schools","John B. Dey Elementary","Non-Title I",10.2,0
"Virginia Beach City Public Schools","Kempsville Elementary","Non-Title I",7.7,0
"Virginia Beach City Public Schools","Kempsville High","Non-Title I",3.7,1.5
"Virginia Beach City Public Schools","Kempsville Meadows Elementary","Non-Title I",8.6,0
"Virginia Beach City Public Schools","Kempsville Middle","Non-Title I",0,0
"Virginia Beach City Public Schools","King's Grant Elementary","Non-Title I",10,0
"Virginia Beach City Public Schools","Kingston Elementary","Non-Title I",2.8,0
