"Div.Name","Sch.Name","Subject","All Students","Asian","Black","Economically Disadvantaged","English Learners","Female","Hispanic","Male","Students with Disabilities","White"
"Wythe County ","Max Meadows Elementary","English: Reading",79,NA,NA,70,NA,86,NA,74,42,81
"Wythe County ","Max Meadows Elementary","History and Social Sciences",95,NA,NA,96,NA,100,NA,92,80,95
"Wythe County ","Max Meadows Elementary","Mathematics",93,NA,NA,89,NA,98,NA,89,68,93
"Wythe County ","Max Meadows Elementary","Science",96,NA,NA,92,NA,94,NA,100,NA,100
"Wise County ","St. Paul Elementary","English: Reading",88,NA,NA,87,NA,93,NA,83,56,88
"Wise County ","St. Paul Elementary","English: Writing",92,NA,NA,88,NA,100,NA,80,NA,92
"Wise County ","St. Paul Elementary","History and Social Sciences",90,NA,NA,89,NA,89,NA,91,73,90
"Wise County ","St. Paul Elementary","Mathematics",98,NA,NA,97,NA,100,NA,96,96,99
"Wise County ","St. Paul Elementary","Science",96,NA,NA,93,NA,91,NA,100,80,95
"Wise County ","J.W. Adams Combined","English: Reading",92,NA,NA,90,NA,92,NA,92,74,92
"Wise County ","J.W. Adams Combined","English: Writing",82,NA,NA,74,NA,85,NA,80,44,80
"Wise County ","J.W. Adams Combined","History and Social Sciences",93,NA,NA,87,NA,93,NA,91,80,92
"Wise County ","J.W. Adams Combined","Mathematics",95,NA,NA,94,NA,95,NA,95,88,95
"Wise County ","J.W. Adams Combined","Science",96,NA,NA,96,NA,95,NA,96,83,96
"Wise County ","Coeburn Primary","English: Reading",88,NA,NA,85,NA,89,NA,88,75,89
"Wise County ","Coeburn Primary","History and Social Sciences",90,NA,NA,89,NA,91,NA,90,73,91
"Wise County ","Coeburn Primary","Mathematics",95,NA,NA,95,NA,97,NA,93,90,95
"Wise County ","Eastside High","English: Reading",89,NA,NA,88,NA,96,NA,83,64,89
"Wise County ","Eastside High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Eastside High","History and Social Sciences",88,NA,NA,84,NA,91,NA,85,60,87
"Wise County ","Eastside High","Mathematics",91,NA,NA,88,NA,97,NA,85,75,91
"Wise County ","Eastside High","Science",92,NA,NA,89,NA,90,NA,93,78,91
"Wise County ","Coeburn Middle","English: Reading",85,NA,100,82,NA,85,NA,84,61,84
"Wise County ","Coeburn Middle","English: Writing",63,NA,NA,59,NA,77,NA,51,25,62
"Wise County ","Coeburn Middle","History and Social Sciences",83,NA,NA,77,NA,77,NA,88,59,83
"Wise County ","Coeburn Middle","Mathematics",95,NA,100,93,NA,96,NA,93,83,95
"Wise County ","Coeburn Middle","Science",83,NA,NA,75,NA,83,NA,83,58,83
"Wise County ","L.F. Addington Middle","English: Reading",86,NA,60,82,NA,89,71,84,61,87
"Wise County ","L.F. Addington Middle","English: Writing",82,NA,60,75,NA,86,NA,79,35,82
"Wise County ","L.F. Addington Middle","History and Social Sciences",91,NA,NA,91,NA,88,NA,93,62,92
"Wise County ","L.F. Addington Middle","Mathematics",95,NA,80,94,NA,94,86,95,90,96
"Wise County ","L.F. Addington Middle","Science",93,NA,71,90,NA,92,NA,93,79,93
"Wise County ","Appalachia Elementary","English: Reading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Appalachia Elementary","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Appalachia Elementary","History and Social Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Appalachia Elementary","Mathematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Appalachia Elementary","Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County ","Wise Primary","English: Reading",84,NA,NA,78,NA,84,NA,84,62,84
"Wise County ","Wise Primary","History and Social Sciences",92,NA,NA,88,NA,97,NA,88,73,92
"Wise County ","Wise Primary","Mathematics",90,NA,80,84,NA,90,100,90,68,90
"Wise County ","Union Middle","English: Reading",80,NA,55,75,NA,80,78,81,51,81
"Wise County ","Union Middle","English: Writing",76,NA,60,65,NA,86,NA,68,29,77
