"Division","School","Provisional.Percent"
"Fairfax County Public Schools","Pine Spring Elementary",14.5
"Fairfax County Public Schools","Poe Middle",11
"Fairfax County Public Schools","Poplar Tree Elementary",0
"Fairfax County Public Schools","Powell Elementary",2.7
"Fairfax County Public Schools","Providence Elementary",3.6
"Fairfax County Public Schools","Ravensworth Elementary",7.8
"Fairfax County Public Schools","Riverside Elementary",11.5
"Fairfax County Public Schools","Robinson Secondary",2.9
"Fairfax County Public Schools","Rocky Run Middle",2.5
"Fairfax County Public Schools","Rolling Valley Elementary",1.9
"Fairfax County Public Schools","Rose Hill Elementary",5.7
"Fairfax County Public Schools","Sandburg Middle",3.2
"Fairfax County Public Schools","Sangster Elementary",3.1
"Fairfax County Public Schools","Saratoga Elementary",10.3
"Fairfax County Public Schools","Sherman Elementary",3
"Fairfax County Public Schools","Shrevewood Elementary",8.2
"Fairfax County Public Schools","Silverbrook Elementary",5.2
"Fairfax County Public Schools","Sleepy Hollow Elementary",4.2
"Fairfax County Public Schools","South County High",5.1
"Fairfax County Public Schools","South County Middle",3.8
"Fairfax County Public Schools","South Lakes High",6.2
"Fairfax County Public Schools","Spring Hill Elementary",1.5
"Fairfax County Public Schools","Springfield Estates Elementary",0
"Fairfax County Public Schools","Stenwood Elementary",0
"Fairfax County Public Schools","Stone Middle",6.3
"Fairfax County Public Schools","Stratford Landing Elementary",9.8
"Fairfax County Public Schools","Sunrise Valley Elementary",5.5
"Fairfax County Public Schools","Terra Centre Elementary",7.7
"Fairfax County Public Schools","Terraset Elementary",6.8
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",1.6
"Fairfax County Public Schools","Thoreau Middle",6.9
"Fairfax County Public Schools","Timber Lane Elementary",14.1
"Fairfax County Public Schools","Twain Middle",4.4
"Fairfax County Public Schools","Union Mill Elementary",5.7
"Fairfax County Public Schools","Vienna Elementary",2.7
"Fairfax County Public Schools","Virginia Run Elementary",3.6
"Fairfax County Public Schools","Wakefield Forest Elementary",3.8
"Fairfax County Public Schools","Waples Mill Elementary",1.4
"Fairfax County Public Schools","Washington Mill Elementary",3.5
"Fairfax County Public Schools","Waynewood Elementary",3.8
"Fairfax County Public Schools","West Potomac High",5.8
"Fairfax County Public Schools","West Springfield Elementary",1.9
"Fairfax County Public Schools","West Springfield High",8.4
"Fairfax County Public Schools","Westbriar Elementary",3.2
"Fairfax County Public Schools","Westfield High",3.6
"Fairfax County Public Schools","Westgate Elementary",7.7
"Fairfax County Public Schools","Westlawn Elementary",6.3
"Fairfax County Public Schools","Weyanoke Elementary",3.2
"Fairfax County Public Schools","White Oaks Elementary",3.6
"Fairfax County Public Schools","Whitman Middle",5.7
"Fairfax County Public Schools","Willow Springs Elementary",0
"Fairfax County Public Schools","Wolftrap Elementary",2.3
"Fairfax County Public Schools","Woodburn Elementary",15
"Fairfax County Public Schools","Woodlawn Elementary",4.9
"Fairfax County Public Schools","Woodley Hills Elementary",0
"Fairfax County Public Schools","Woodson High",5.3
"Falls Church City Public Schools","Mary Ellen Henderson Middle",3.6
"Falls Church City Public Schools","Meridian High",5.6
"Falls Church City Public Schools","Mount Daniel Elementary",0
"Falls Church City Public Schools","Oak Street Elementary",2.9
"Fauquier County Public Schools","Auburn Middle",8.3
"Fauquier County Public Schools","C. Hunter Ritchie Elementary",0
"Fauquier County Public Schools","C.M. Bradley Elementary",12.1
"Fauquier County Public Schools","Cedar Lee Middle",7.1
"Fauquier County Public Schools","Claude Thompson Elementary",15.8
"Fauquier County Public Schools","Fauquier High",6.7
"Fauquier County Public Schools","Grace Miller Elementary",11.1
"Fauquier County Public Schools","Greenville Elementary",8.6
"Fauquier County Public Schools","H.M. Pearson Elementary",16
"Fauquier County Public Schools","James G. Brumfield Elementary",2.9
"Fauquier County Public Schools","Kettle Run High",9.2
"Fauquier County Public Schools","Liberty High",11.1
"Fauquier County Public Schools","Margaret M. Pierce Elementary",5.4
"Fauquier County Public Schools","Marshall Middle",16.7
"Fauquier County Public Schools","Mary Walter Elementary",11.1
"Fauquier County Public Schools","P.B. Smith Elementary",7.1
"Fauquier County Public Schools","W.C. Taylor Middle",11.1
"Fauquier County Public Schools","W.G. Coleman Elementary",11.1
"Fauquier County Public Schools","Warrenton Middle",15.9
"Floyd County Public Schools","Check Elementary",3.7
"Floyd County Public Schools","Floyd County High",7.8
"Floyd County Public Schools","Floyd Elementary",2
"Floyd County Public Schools","Indian Valley Elementary",0
"Floyd County Public Schools","Willis Elementary",0
"Fluvanna County Public Schools","Carysbrook Elementary",4.9
"Fluvanna County Public Schools","Central Elementary",0
"Fluvanna County Public Schools","Fluvanna County High",5.9
"Fluvanna County Public Schools","Fluvanna Middle",2.9
"Franklin City Public Schools","Franklin High",17.9
"Franklin City Public Schools","Joseph P. King Jr. Middle",31.3
"Franklin City Public Schools","S.P. Morton Elementary",16.7
"Franklin County Public Schools","Benjamin Franklin Middle",5
"Franklin County Public Schools","Boones Mill Elementary",7.1
"Franklin County Public Schools","Burnt Chimney Elementary",6.9
"Franklin County Public Schools","Callaway Elementary",0
"Franklin County Public Schools","Dudley Elementary",8
"Franklin County Public Schools","Ferrum Elementary",3.4
"Franklin County Public Schools","Franklin County High",10.1
"Franklin County Public Schools","Glade Hill Elementary",21.7
"Franklin County Public Schools","Henry Elementary",0
"Franklin County Public Schools","Lee M. Waid Elementary",11.4
"Franklin County Public Schools","Rocky Mount Elementary",11.1
"Franklin County Public Schools","Snow Creek Elementary",0
"Franklin County Public Schools","Sontag Elementary",0
"Franklin County Public Schools","Windy Gap Elementary",3.3
"Frederick County Public Schools","Admiral Richard E. Byrd Middle",5.3
"Frederick County Public Schools","Apple Pie Ridge Elementary",6.8
"Frederick County Public Schools","Armel Elementary",0
"Frederick County Public Schools","Bass-Hoover Elementary",2.2
"Frederick County Public Schools","Evendale Elementary",8.7
"Frederick County Public Schools","Frederick County Middle",2.1
"Frederick County Public Schools","Gainesboro Elementary",0
"Frederick County Public Schools","Greenwood Mill Elementary",2
"Frederick County Public Schools","Indian Hollow Elementary",2.9
"Frederick County Public Schools","James Wood High",4.1
"Frederick County Public Schools","James Wood Middle",8.8
"Frederick County Public Schools","Middletown Elementary",2.3
"Frederick County Public Schools","Millbrook High",6.6
"Frederick County Public Schools","Orchard View Elementary",4.5
"Frederick County Public Schools","Redbud Run Elementary",0
"Frederick County Public Schools","Robert E. Aylor Middle",3.2
"Frederick County Public Schools","Sherando High",4.3
"Frederick County Public Schools","Stonewall Elementary",7.5
"Fredericksburg City Public Schools","Hugh Mercer Elementary",19.1
"Fredericksburg City Public Schools","James Monroe High",5.1
"Fredericksburg City Public Schools","Lafayette Elementary",10.1
"Fredericksburg City Public Schools","Walker-Grant Middle",23.1
"Galax City Public Schools","Galax Elementary",7.8
"Galax City Public Schools","Galax High",12.8
"Galax City Public Schools","Galax Middle",11.1
"Giles County Public Schools","Eastern Elementary/Middle ",2.4
"Giles County Public Schools","Giles High",5.9
"Giles County Public Schools","Macy Mcclaugherty Elementary/Middle",13
"Giles County Public Schools","Narrows Elementary/Middle ",2.4
"Giles County Public Schools","Narrows High",6.7
"Gloucester County Public Schools","Abingdon Elementary",6.4
"Gloucester County Public Schools","Achilles Elementary",9.1
"Gloucester County Public Schools","Bethel Elementary",10.3
"Gloucester County Public Schools","Botetourt Elementary",6.3
"Gloucester County Public Schools","Gloucester High",5.2
"Gloucester County Public Schools","Page Middle",5.9
"Gloucester County Public Schools","Peasley Middle",5.6
"Gloucester County Public Schools","Petsworth Elementary",10.3
"Goochland County Public Schools","Byrd Elementary",2.8
"Goochland County Public Schools","Goochland Elementary",0
"Goochland County Public Schools","Goochland High",8.3
"Goochland County Public Schools","Goochland Middle",12.1
"Goochland County Public Schools","Randolph Elementary",0
"Grayson County Public Schools","Fairview Elementary",5.6
"Grayson County Public Schools","Fries Elementary",17.9
"Grayson County Public Schools","Grayson County High",10.9
"Grayson County Public Schools","Grayson Highlands",10.5
"Grayson County Public Schools","Independence Elementary",4.5
"Grayson County Public Schools","Independence Middle",9.4
"Greene County Public Schools","Nathanael Greene Elementary",0
"Greene County Public Schools","Nathanael Greene Primary",0
"Greene County Public Schools","Ruckersville Elementary",2.4
"Greene County Public Schools","William Monroe High",4.6
"Greene County Public Schools","William Monroe Middle",4.3
"Greensville County Public Schools","Belfield Elementary",11.8
"Greensville County Public Schools","Edward W. Wyatt Middle",27.7
"Greensville County Public Schools","Greensville County High",30.9
"Greensville County Public Schools","Greensville Elementary",11.7
"Halifax County Public Schools","Clays Mill Elementary",0
"Halifax County Public Schools","Cluster Springs Elementary",2.4
"Halifax County Public Schools","Halifax County High",10.9
"Halifax County Public Schools","Halifax County Middle",21.1
"Halifax County Public Schools","Meadville Elementary",0
"Halifax County Public Schools","Scottsburg Elementary",14.3
"Halifax County Public Schools","Sinai Elementary",9.1
"Halifax County Public Schools","South Boston Elementary",6
"Halifax County Public Schools","Sydnor Jennings Elementary",8
"Hampton City Public Schools","A.W.E. Bassette Elementary",32.3
"Hampton City Public Schools","Aberdeen Elementary",15.6
"Hampton City Public Schools","Albert W. Patrick III Elementary",12
"Hampton City Public Schools","Alfred S. Forrest Elementary",6.1
"Hampton City Public Schools","Armstrong Elementary",15
"Hampton City Public Schools","Barron Elementary",0
"Hampton City Public Schools","Benjamin Syms Middle",17.6
"Hampton City Public Schools","Bethel High",8.9
"Hampton City Public Schools","C. Alton Lindsay Middle",17.2
"Hampton City Public Schools","Captain John Smith Elementary",11.1
"Hampton City Public Schools","Cesar Tarrant Middle",12.9
"Hampton City Public Schools","Christopher C. Kraft Elementary ",16.1
"Hampton City Public Schools","Francis Asbury Elementary",15.4
"Hampton City Public Schools","Francis W. Jones Magnet Middle",5.8
"Hampton City Public Schools","George P. Phenix Elementary",9
"Hampton City Public Schools","Hampton High",14
"Hampton City Public Schools","Hunter B. Andrews",19.5
"Hampton City Public Schools","Jane H. Bryan Elementary",10.3
"Hampton City Public Schools","Kecoughtan High",8.9
"Hampton City Public Schools","Luther W. Machen Elementary ",11.1
"Hampton City Public Schools","Mary S. Peake Elementary",15.6
"Hampton City Public Schools","Mary T. Christian Elementary",16.7
"Hampton City Public Schools","Mary W. Jackson Elementary",0
"Hampton City Public Schools","Paul Burbank Elementary",6.9
"Hampton City Public Schools","Phillips Elementary",3.6
"Hampton City Public Schools","Phoebus High",11.2
"Hampton City Public Schools","Samuel P. Langley Elementary",10.8
"Hampton City Public Schools","Thomas Eaton Middle",13.5
"Hampton City Public Schools","William Mason Cooper Elementary",12.5
"Hanover County Public Schools","Atlee High",2
"Hanover County Public Schools","Battlefield Park Elementary",0
"Hanover County Public Schools","Beaverdam Elementary",0
"Hanover County Public Schools","Bell Creek Middle",3.4
"Hanover County Public Schools","Chickahominy Middle",0
"Hanover County Public Schools","Cold Harbor Elementary",0
"Hanover County Public Schools","Cool Spring Elementary",0
"Hanover County Public Schools","Elmont Elementary",2.8
"Hanover County Public Schools","Hanover High",10.3
"Hanover County Public Schools","Henry Clay Elementary",3.4
"Hanover County Public Schools","John M. Gandy Elementary",3.3
"Hanover County Public Schools","Kersey Creek Elementary",0
"Hanover County Public Schools","Laurel Meadow Elementary",5.1
"Hanover County Public Schools","Liberty Middle",3.1
"Hanover County Public Schools","Mechanicsville Elementary",0
"Hanover County Public Schools","Mechanicsville High",6.7
"Hanover County Public Schools","Oak Knoll Middle",4.7
"Hanover County Public Schools","Patrick Henry High",3.5
"Hanover County Public Schools","Pearson's Corner Elementary",0
"Hanover County Public Schools","Pole Green Elementary",0
"Hanover County Public Schools","Rural Point Elementary",0
"Hanover County Public Schools","South Anna Elementary",0
"Hanover County Public Schools","Washington-Henry Elementary ",0
"Harrisonburg City Public Schools","Bluestone Elementary",2.3
"Harrisonburg City Public Schools","Harrisonburg High",5
"Harrisonburg City Public Schools","Keister Elementary",0
"Harrisonburg City Public Schools","Skyline Middle",6.2
"Harrisonburg City Public Schools","Smithland Elementary",0
"Harrisonburg City Public Schools","Spotswood Elementary",10.8
"Harrisonburg City Public Schools","Stone Spring Elementary",2.3
"Harrisonburg City Public Schools","Thomas Harrison Middle",4.5
"Harrisonburg City Public Schools","Waterman Elementary",2.4
"Henrico County Public Schools","Anthony P. Mehfoud Elementary",0
"Henrico County Public Schools","Arthur Ashe Jr. Elementary ",5.7
"Henrico County Public Schools","Brookland Middle",8.5
