"Division","School","Year.Percent","Type"
"Arlington County Public Schools","Arlington Traditional",10,"Bachelor's Degree"
"Arlington County Public Schools","Arlington Traditional",87,"Master's Degree"
"Arlington County Public Schools","Arlington Traditional",2,"Doctoral Degree"
"Arlington County Public Schools","Ashlawn Elementary",22,"Bachelor's Degree"
"Arlington County Public Schools","Ashlawn Elementary",76,"Master's Degree"
"Arlington County Public Schools","Ashlawn Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Barcroft Elementary",18,"Bachelor's Degree"
"Arlington County Public Schools","Barcroft Elementary",80,"Master's Degree"
"Arlington County Public Schools","Barcroft Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Barrett Elementary",24,"Bachelor's Degree"
"Arlington County Public Schools","Barrett Elementary",73,"Master's Degree"
"Arlington County Public Schools","Barrett Elementary",1,"Doctoral Degree"
"Arlington County Public Schools","Campbell Elementary",18,"Bachelor's Degree"
"Arlington County Public Schools","Campbell Elementary",82,"Master's Degree"
"Arlington County Public Schools","Campbell Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Cardinal Elementary",31,"Bachelor's Degree"
"Arlington County Public Schools","Cardinal Elementary",66,"Master's Degree"
"Arlington County Public Schools","Cardinal Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Carlin Springs Elementary",25,"Bachelor's Degree"
"Arlington County Public Schools","Carlin Springs Elementary",74,"Master's Degree"
"Arlington County Public Schools","Carlin Springs Elementary",1,"Doctoral Degree"
"Arlington County Public Schools","Claremont Immersion",25,"Bachelor's Degree"
"Arlington County Public Schools","Claremont Immersion",68,"Master's Degree"
"Arlington County Public Schools","Claremont Immersion",4,"Doctoral Degree"
"Arlington County Public Schools","Discovery Elementary",24,"Bachelor's Degree"
"Arlington County Public Schools","Discovery Elementary",73,"Master's Degree"
"Arlington County Public Schools","Discovery Elementary",4,"Doctoral Degree"
"Arlington County Public Schools","Dr. Charles R. Drew Elementary",36,"Bachelor's Degree"
"Arlington County Public Schools","Dr. Charles R. Drew Elementary",62,"Master's Degree"
"Arlington County Public Schools","Dr. Charles R. Drew Elementary",1,"Doctoral Degree"
"Arlington County Public Schools","Escuela Key Elementary",33,"Bachelor's Degree"
"Arlington County Public Schools","Escuela Key Elementary",64,"Master's Degree"
"Arlington County Public Schools","Escuela Key Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Glebe Elementary",16,"Bachelor's Degree"
"Arlington County Public Schools","Glebe Elementary",82,"Master's Degree"
"Arlington County Public Schools","Glebe Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Gunston Middle",20,"Bachelor's Degree"
"Arlington County Public Schools","Gunston Middle",76,"Master's Degree"
"Arlington County Public Schools","Gunston Middle",2,"Doctoral Degree"
"Arlington County Public Schools","Hoffman-Boston Elementary",20,"Bachelor's Degree"
"Arlington County Public Schools","Hoffman-Boston Elementary",80,"Master's Degree"
"Arlington County Public Schools","Hoffman-Boston Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Innovation Elementary ",31,"Bachelor's Degree"
"Arlington County Public Schools","Innovation Elementary ",69,"Master's Degree"
"Arlington County Public Schools","Innovation Elementary ",0,"Doctoral Degree"
"Arlington County Public Schools","Jamestown Elementary",12,"Bachelor's Degree"
"Arlington County Public Schools","Jamestown Elementary",81,"Master's Degree"
"Arlington County Public Schools","Jamestown Elementary",7,"Doctoral Degree"
"Arlington County Public Schools","Jefferson Middle",26,"Bachelor's Degree"
"Arlington County Public Schools","Jefferson Middle",69,"Master's Degree"
"Arlington County Public Schools","Jefferson Middle",3,"Doctoral Degree"
