"Division","School","Year.Percent","Type"
"Spotsylvania County Public Schools","Cedar Forest Elementary",60,"Master's Degree"
"Spotsylvania County Public Schools","Cedar Forest Elementary",2,"Doctoral Degree"
"Spotsylvania County Public Schools","Chancellor Elementary",47,"Bachelor's Degree"
"Spotsylvania County Public Schools","Chancellor Elementary",53,"Master's Degree"
"Spotsylvania County Public Schools","Chancellor Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Chancellor High",29,"Bachelor's Degree"
"Spotsylvania County Public Schools","Chancellor High",65,"Master's Degree"
"Spotsylvania County Public Schools","Chancellor High",3,"Doctoral Degree"
"Spotsylvania County Public Schools","Chancellor Middle",45,"Bachelor's Degree"
"Spotsylvania County Public Schools","Chancellor Middle",52,"Master's Degree"
"Spotsylvania County Public Schools","Chancellor Middle",2,"Doctoral Degree"
"Spotsylvania County Public Schools","Courthouse Road Elementary",58,"Bachelor's Degree"
"Spotsylvania County Public Schools","Courthouse Road Elementary",42,"Master's Degree"
"Spotsylvania County Public Schools","Courthouse Road Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Courtland Elementary",50,"Bachelor's Degree"
"Spotsylvania County Public Schools","Courtland Elementary",50,"Master's Degree"
"Spotsylvania County Public Schools","Courtland Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Courtland High",29,"Bachelor's Degree"
"Spotsylvania County Public Schools","Courtland High",68,"Master's Degree"
"Spotsylvania County Public Schools","Courtland High",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Freedom Middle",38,"Bachelor's Degree"
"Spotsylvania County Public Schools","Freedom Middle",60,"Master's Degree"
"Spotsylvania County Public Schools","Freedom Middle",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Harrison Road Elementary",50,"Bachelor's Degree"
"Spotsylvania County Public Schools","Harrison Road Elementary",48,"Master's Degree"
"Spotsylvania County Public Schools","Harrison Road Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Lee Hill Elementary",46,"Bachelor's Degree"
"Spotsylvania County Public Schools","Lee Hill Elementary",54,"Master's Degree"
"Spotsylvania County Public Schools","Lee Hill Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Livingston Elementary",50,"Bachelor's Degree"
"Spotsylvania County Public Schools","Livingston Elementary",50,"Master's Degree"
"Spotsylvania County Public Schools","Livingston Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Massaponax High",48,"Bachelor's Degree"
"Spotsylvania County Public Schools","Massaponax High",47,"Master's Degree"
"Spotsylvania County Public Schools","Massaponax High",3,"Doctoral Degree"
"Spotsylvania County Public Schools","Ni River Middle",46,"Bachelor's Degree"
"Spotsylvania County Public Schools","Ni River Middle",54,"Master's Degree"
"Spotsylvania County Public Schools","Ni River Middle",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Parkside Elementary",47,"Bachelor's Degree"
"Spotsylvania County Public Schools","Parkside Elementary",53,"Master's Degree"
"Spotsylvania County Public Schools","Parkside Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Post Oak Middle",38,"Bachelor's Degree"
"Spotsylvania County Public Schools","Post Oak Middle",61,"Master's Degree"
"Spotsylvania County Public Schools","Post Oak Middle",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Riverbend High ",39,"Bachelor's Degree"
"Spotsylvania County Public Schools","Riverbend High ",58,"Master's Degree"
"Spotsylvania County Public Schools","Riverbend High ",2,"Doctoral Degree"
"Spotsylvania County Public Schools","Riverview Elementary",55,"Bachelor's Degree"
"Spotsylvania County Public Schools","Riverview Elementary",45,"Master's Degree"
"Spotsylvania County Public Schools","Riverview Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Salem Elementary",51,"Bachelor's Degree"
"Spotsylvania County Public Schools","Salem Elementary",49,"Master's Degree"
"Spotsylvania County Public Schools","Salem Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Smith Station Elementary",53,"Bachelor's Degree"
"Spotsylvania County Public Schools","Smith Station Elementary",47,"Master's Degree"
"Spotsylvania County Public Schools","Smith Station Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Spotswood Elementary",50,"Bachelor's Degree"
"Spotsylvania County Public Schools","Spotswood Elementary",47,"Master's Degree"
"Spotsylvania County Public Schools","Spotswood Elementary",3,"Doctoral Degree"
"Spotsylvania County Public Schools","Spotsylvania Elementary",43,"Bachelor's Degree"
"Spotsylvania County Public Schools","Spotsylvania Elementary",57,"Master's Degree"
"Spotsylvania County Public Schools","Spotsylvania Elementary",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Spotsylvania High",46,"Bachelor's Degree"
"Spotsylvania County Public Schools","Spotsylvania High",52,"Master's Degree"
"Spotsylvania County Public Schools","Spotsylvania High",1,"Doctoral Degree"
"Spotsylvania County Public Schools","Spotsylvania Middle",50,"Bachelor's Degree"
"Spotsylvania County Public Schools","Spotsylvania Middle",50,"Master's Degree"
"Spotsylvania County Public Schools","Spotsylvania Middle",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Thornburg Middle",55,"Bachelor's Degree"
"Spotsylvania County Public Schools","Thornburg Middle",45,"Master's Degree"
"Spotsylvania County Public Schools","Thornburg Middle",0,"Doctoral Degree"
"Spotsylvania County Public Schools","Wilderness Elementary",55,"Bachelor's Degree"
"Spotsylvania County Public Schools","Wilderness Elementary",45,"Master's Degree"
"Spotsylvania County Public Schools","Wilderness Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Andrew G. Wright Middle",38,"Bachelor's Degree"
"Stafford County Public Schools","Andrew G. Wright Middle",62,"Master's Degree"
"Stafford County Public Schools","Andrew G. Wright Middle",0,"Doctoral Degree"
"Stafford County Public Schools","Anne E. Moncure Elementary",49,"Bachelor's Degree"
"Stafford County Public Schools","Anne E. Moncure Elementary",51,"Master's Degree"
"Stafford County Public Schools","Anne E. Moncure Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Anthony Burns Elementary",47,"Bachelor's Degree"
"Stafford County Public Schools","Anthony Burns Elementary",53,"Master's Degree"
"Stafford County Public Schools","Anthony Burns Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Brooke Point High",34,"Bachelor's Degree"
"Stafford County Public Schools","Brooke Point High",57,"Master's Degree"
"Stafford County Public Schools","Brooke Point High",4,"Doctoral Degree"
"Stafford County Public Schools","Colonial Forge High",35,"Bachelor's Degree"
"Stafford County Public Schools","Colonial Forge High",63,"Master's Degree"
"Stafford County Public Schools","Colonial Forge High",1,"Doctoral Degree"
"Stafford County Public Schools","Conway Elementary",40,"Bachelor's Degree"
"Stafford County Public Schools","Conway Elementary",56,"Master's Degree"
"Stafford County Public Schools","Conway Elementary",2,"Doctoral Degree"
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",28,"Bachelor's Degree"
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",70,"Master's Degree"
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",0,"Doctoral Degree"
"Stafford County Public Schools","Edward E. Drew Jr. Middle",44,"Bachelor's Degree"
"Stafford County Public Schools","Edward E. Drew Jr. Middle",49,"Master's Degree"
"Stafford County Public Schools","Edward E. Drew Jr. Middle",4,"Doctoral Degree"
"Stafford County Public Schools","Falmouth Elementary",38,"Bachelor's Degree"
"Stafford County Public Schools","Falmouth Elementary",59,"Master's Degree"
"Stafford County Public Schools","Falmouth Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Ferry Farm Elementary",49,"Bachelor's Degree"
"Stafford County Public Schools","Ferry Farm Elementary",49,"Master's Degree"
"Stafford County Public Schools","Ferry Farm Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Garrisonville Elementary",36,"Bachelor's Degree"
"Stafford County Public Schools","Garrisonville Elementary",58,"Master's Degree"
"Stafford County Public Schools","Garrisonville Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Grafton Village Elementary",40,"Bachelor's Degree"
"Stafford County Public Schools","Grafton Village Elementary",56,"Master's Degree"
"Stafford County Public Schools","Grafton Village Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","H.H. Poole Middle",38,"Bachelor's Degree"
"Stafford County Public Schools","H.H. Poole Middle",60,"Master's Degree"
"Stafford County Public Schools","H.H. Poole Middle",0,"Doctoral Degree"
"Stafford County Public Schools","Hampton Oaks Elementary",55,"Bachelor's Degree"
"Stafford County Public Schools","Hampton Oaks Elementary",45,"Master's Degree"
"Stafford County Public Schools","Hampton Oaks Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Hartwood Elementary",50,"Bachelor's Degree"
"Stafford County Public Schools","Hartwood Elementary",47,"Master's Degree"
"Stafford County Public Schools","Hartwood Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Kate Waller Barrett Elementary",44,"Bachelor's Degree"
"Stafford County Public Schools","Kate Waller Barrett Elementary",50,"Master's Degree"
"Stafford County Public Schools","Kate Waller Barrett Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Margaret Brent Elementary ",33,"Bachelor's Degree"
"Stafford County Public Schools","Margaret Brent Elementary ",65,"Master's Degree"
"Stafford County Public Schools","Margaret Brent Elementary ",0,"Doctoral Degree"
"Stafford County Public Schools","Mountain View High ",41,"Bachelor's Degree"
"Stafford County Public Schools","Mountain View High ",55,"Master's Degree"
"Stafford County Public Schools","Mountain View High ",2,"Doctoral Degree"
"Stafford County Public Schools","North Stafford High",38,"Bachelor's Degree"
"Stafford County Public Schools","North Stafford High",55,"Master's Degree"
"Stafford County Public Schools","North Stafford High",1,"Doctoral Degree"
"Stafford County Public Schools","Park Ridge Elementary",55,"Bachelor's Degree"
"Stafford County Public Schools","Park Ridge Elementary",43,"Master's Degree"
"Stafford County Public Schools","Park Ridge Elementary",2,"Doctoral Degree"
"Stafford County Public Schools","Rockhill Elementary",42,"Bachelor's Degree"
"Stafford County Public Schools","Rockhill Elementary",55,"Master's Degree"
"Stafford County Public Schools","Rockhill Elementary",3,"Doctoral Degree"
"Stafford County Public Schools","Rocky Run Elementary",39,"Bachelor's Degree"
"Stafford County Public Schools","Rocky Run Elementary",59,"Master's Degree"
"Stafford County Public Schools","Rocky Run Elementary",2,"Doctoral Degree"
"Stafford County Public Schools","Rodney E. Thompson Middle",42,"Bachelor's Degree"
"Stafford County Public Schools","Rodney E. Thompson Middle",55,"Master's Degree"
"Stafford County Public Schools","Rodney E. Thompson Middle",2,"Doctoral Degree"
"Stafford County Public Schools","Shirley C. Heim Middle",46,"Bachelor's Degree"
"Stafford County Public Schools","Shirley C. Heim Middle",54,"Master's Degree"
"Stafford County Public Schools","Shirley C. Heim Middle",0,"Doctoral Degree"
"Stafford County Public Schools","Stafford Elementary",49,"Bachelor's Degree"
"Stafford County Public Schools","Stafford Elementary",51,"Master's Degree"
"Stafford County Public Schools","Stafford Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Stafford Middle",45,"Bachelor's Degree"
"Stafford County Public Schools","Stafford Middle",53,"Master's Degree"
"Stafford County Public Schools","Stafford Middle",2,"Doctoral Degree"
"Stafford County Public Schools","Stafford Senior High",29,"Bachelor's Degree"
"Stafford County Public Schools","Stafford Senior High",60,"Master's Degree"
"Stafford County Public Schools","Stafford Senior High",2,"Doctoral Degree"
"Stafford County Public Schools","T. Benton Gayle Middle",52,"Bachelor's Degree"
"Stafford County Public Schools","T. Benton Gayle Middle",48,"Master's Degree"
"Stafford County Public Schools","T. Benton Gayle Middle",0,"Doctoral Degree"
"Stafford County Public Schools","Widewater Elementary",35,"Bachelor's Degree"
"Stafford County Public Schools","Widewater Elementary",56,"Master's Degree"
"Stafford County Public Schools","Widewater Elementary",0,"Doctoral Degree"
"Stafford County Public Schools","Winding Creek Elementary",39,"Bachelor's Degree"
"Stafford County Public Schools","Winding Creek Elementary",61,"Master's Degree"
"Stafford County Public Schools","Winding Creek Elementary",0,"Doctoral Degree"
"Staunton City Public Schools","Arthur R. Ware Elementary",43,"Bachelor's Degree"
"Staunton City Public Schools","Arthur R. Ware Elementary",49,"Master's Degree"
"Staunton City Public Schools","Arthur R. Ware Elementary",3,"Doctoral Degree"
"Staunton City Public Schools","Bessie Weller Elementary",51,"Bachelor's Degree"
"Staunton City Public Schools","Bessie Weller Elementary",49,"Master's Degree"
"Staunton City Public Schools","Bessie Weller Elementary",0,"Doctoral Degree"
"Staunton City Public Schools","Shelburne Middle",41,"Bachelor's Degree"
"Staunton City Public Schools","Shelburne Middle",58,"Master's Degree"
"Staunton City Public Schools","Shelburne Middle",2,"Doctoral Degree"
"Staunton City Public Schools","Staunton High",47,"Bachelor's Degree"
"Staunton City Public Schools","Staunton High",53,"Master's Degree"
"Staunton City Public Schools","Staunton High",0,"Doctoral Degree"
"Staunton City Public Schools","Thomas C. McSwain Elementary",45,"Bachelor's Degree"
"Staunton City Public Schools","Thomas C. McSwain Elementary",53,"Master's Degree"
"Staunton City Public Schools","Thomas C. McSwain Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","Booker T. Washington Elementary",40,"Bachelor's Degree"
"Suffolk City Public Schools","Booker T. Washington Elementary",57,"Master's Degree"
"Suffolk City Public Schools","Booker T. Washington Elementary",2,"Doctoral Degree"
"Suffolk City Public Schools","Colonel Fred Cherry Middle",50,"Bachelor's Degree"
"Suffolk City Public Schools","Colonel Fred Cherry Middle",46,"Master's Degree"
"Suffolk City Public Schools","Colonel Fred Cherry Middle",0,"Doctoral Degree"
"Suffolk City Public Schools","Creekside Elementary",49,"Bachelor's Degree"
"Suffolk City Public Schools","Creekside Elementary",47,"Master's Degree"
"Suffolk City Public Schools","Creekside Elementary",2,"Doctoral Degree"
"Suffolk City Public Schools","Elephant's Fork Elementary",23,"Bachelor's Degree"
"Suffolk City Public Schools","Elephant's Fork Elementary",72,"Master's Degree"
"Suffolk City Public Schools","Elephant's Fork Elementary",2,"Doctoral Degree"
"Suffolk City Public Schools","Florence Bowser Elementary",41,"Bachelor's Degree"
"Suffolk City Public Schools","Florence Bowser Elementary",55,"Master's Degree"
"Suffolk City Public Schools","Florence Bowser Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","Forest Glen Middle",40,"Bachelor's Degree"
"Suffolk City Public Schools","Forest Glen Middle",48,"Master's Degree"
"Suffolk City Public Schools","Forest Glen Middle",0,"Doctoral Degree"
"Suffolk City Public Schools","Hillpoint Elementary",44,"Bachelor's Degree"
"Suffolk City Public Schools","Hillpoint Elementary",54,"Master's Degree"
"Suffolk City Public Schools","Hillpoint Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","John F. Kennedy Middle",49,"Bachelor's Degree"
"Suffolk City Public Schools","John F. Kennedy Middle",47,"Master's Degree"
"Suffolk City Public Schools","John F. Kennedy Middle",2,"Doctoral Degree"
"Suffolk City Public Schools","John Yeates Middle",39,"Bachelor's Degree"
"Suffolk City Public Schools","John Yeates Middle",57,"Master's Degree"
"Suffolk City Public Schools","John Yeates Middle",2,"Doctoral Degree"
"Suffolk City Public Schools","Kilby Shores Elementary",39,"Bachelor's Degree"
"Suffolk City Public Schools","Kilby Shores Elementary",51,"Master's Degree"
"Suffolk City Public Schools","Kilby Shores Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","King's Fork High",42,"Bachelor's Degree"
"Suffolk City Public Schools","King's Fork High",50,"Master's Degree"
"Suffolk City Public Schools","King's Fork High",2,"Doctoral Degree"
"Suffolk City Public Schools","King's Fork Middle",40,"Bachelor's Degree"
"Suffolk City Public Schools","King's Fork Middle",54,"Master's Degree"
"Suffolk City Public Schools","King's Fork Middle",1,"Doctoral Degree"
"Suffolk City Public Schools","Lakeland High",47,"Bachelor's Degree"
"Suffolk City Public Schools","Lakeland High",43,"Master's Degree"
"Suffolk City Public Schools","Lakeland High",0,"Doctoral Degree"
"Suffolk City Public Schools","Mack Benn Jr. Elementary",46,"Bachelor's Degree"
"Suffolk City Public Schools","Mack Benn Jr. Elementary",48,"Master's Degree"
"Suffolk City Public Schools","Mack Benn Jr. Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","Nansemond Parkway Elementary",43,"Bachelor's Degree"
"Suffolk City Public Schools","Nansemond Parkway Elementary",53,"Master's Degree"
"Suffolk City Public Schools","Nansemond Parkway Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","Nansemond River High",42,"Bachelor's Degree"
"Suffolk City Public Schools","Nansemond River High",53,"Master's Degree"
"Suffolk City Public Schools","Nansemond River High",3,"Doctoral Degree"
"Suffolk City Public Schools","Northern Shores Elementary",44,"Bachelor's Degree"
"Suffolk City Public Schools","Northern Shores Elementary",51,"Master's Degree"
"Suffolk City Public Schools","Northern Shores Elementary",2,"Doctoral Degree"
"Suffolk City Public Schools","Oakland Elementary",41,"Bachelor's Degree"
"Suffolk City Public Schools","Oakland Elementary",54,"Master's Degree"
"Suffolk City Public Schools","Oakland Elementary",0,"Doctoral Degree"
"Suffolk City Public Schools","Southwestern Elementary",35,"Bachelor's Degree"
"Suffolk City Public Schools","Southwestern Elementary",60,"Master's Degree"
"Suffolk City Public Schools","Southwestern Elementary",0,"Doctoral Degree"
"Surry County Public Schools","Luther P. Jackson Middle",37,"Bachelor's Degree"
"Surry County Public Schools","Luther P. Jackson Middle",63,"Master's Degree"
"Surry County Public Schools","Luther P. Jackson Middle",0,"Doctoral Degree"
"Surry County Public Schools","Surry County High",25,"Bachelor's Degree"
"Surry County Public Schools","Surry County High",70,"Master's Degree"
"Surry County Public Schools","Surry County High",3,"Doctoral Degree"
"Surry County Public Schools","Surry Elementary",38,"Bachelor's Degree"
"Surry County Public Schools","Surry Elementary",59,"Master's Degree"
"Surry County Public Schools","Surry Elementary",0,"Doctoral Degree"
"Sussex County Public Schools","Sussex Central Elementary",43,"Bachelor's Degree"
"Sussex County Public Schools","Sussex Central Elementary",55,"Master's Degree"
"Sussex County Public Schools","Sussex Central Elementary",0,"Doctoral Degree"
"Sussex County Public Schools","Sussex Central High",46,"Bachelor's Degree"
"Sussex County Public Schools","Sussex Central High",51,"Master's Degree"
"Sussex County Public Schools","Sussex Central High",0,"Doctoral Degree"
"Sussex County Public Schools","Sussex Central Middle",28,"Bachelor's Degree"
"Sussex County Public Schools","Sussex Central Middle",68,"Master's Degree"
"Sussex County Public Schools","Sussex Central Middle",4,"Doctoral Degree"
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",77,"Bachelor's Degree"
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",23,"Master's Degree"
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",0,"Doctoral Degree"
"Tazewell County Public Schools","Cedar Bluff Elementary",59,"Bachelor's Degree"
"Tazewell County Public Schools","Cedar Bluff Elementary",41,"Master's Degree"
"Tazewell County Public Schools","Cedar Bluff Elementary",0,"Doctoral Degree"
"Tazewell County Public Schools","Dudley Primary",75,"Bachelor's Degree"
"Tazewell County Public Schools","Dudley Primary",25,"Master's Degree"
"Tazewell County Public Schools","Dudley Primary",0,"Doctoral Degree"
"Tazewell County Public Schools","Graham High",41,"Bachelor's Degree"
"Tazewell County Public Schools","Graham High",57,"Master's Degree"
"Tazewell County Public Schools","Graham High",0,"Doctoral Degree"
"Tazewell County Public Schools","Graham Intermediate",57,"Bachelor's Degree"
"Tazewell County Public Schools","Graham Intermediate",43,"Master's Degree"
"Tazewell County Public Schools","Graham Intermediate",0,"Doctoral Degree"
"Tazewell County Public Schools","Graham Middle",59,"Bachelor's Degree"
"Tazewell County Public Schools","Graham Middle",38,"Master's Degree"
"Tazewell County Public Schools","Graham Middle",3,"Doctoral Degree"
"Tazewell County Public Schools","Richlands Elementary",71,"Bachelor's Degree"
"Tazewell County Public Schools","Richlands Elementary",24,"Master's Degree"
"Tazewell County Public Schools","Richlands Elementary",0,"Doctoral Degree"
"Tazewell County Public Schools","Richlands High",64,"Bachelor's Degree"
"Tazewell County Public Schools","Richlands High",35,"Master's Degree"
"Tazewell County Public Schools","Richlands High",0,"Doctoral Degree"
"Tazewell County Public Schools","Richlands Middle",60,"Bachelor's Degree"
"Tazewell County Public Schools","Richlands Middle",40,"Master's Degree"
"Tazewell County Public Schools","Richlands Middle",0,"Doctoral Degree"
"Tazewell County Public Schools","Tazewell High",44,"Bachelor's Degree"
"Tazewell County Public Schools","Tazewell High",56,"Master's Degree"
"Tazewell County Public Schools","Tazewell High",0,"Doctoral Degree"
"Tazewell County Public Schools","Tazewell Intermediate",59,"Bachelor's Degree"
"Tazewell County Public Schools","Tazewell Intermediate",41,"Master's Degree"
"Tazewell County Public Schools","Tazewell Intermediate",0,"Doctoral Degree"
"Tazewell County Public Schools","Tazewell Middle",51,"Bachelor's Degree"
"Tazewell County Public Schools","Tazewell Middle",44,"Master's Degree"
"Tazewell County Public Schools","Tazewell Middle",3,"Doctoral Degree"
"Tazewell County Public Schools","Tazewell Primary",38,"Bachelor's Degree"
"Tazewell County Public Schools","Tazewell Primary",62,"Master's Degree"
"Tazewell County Public Schools","Tazewell Primary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Alanton Elementary",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Alanton Elementary",57,"Master's Degree"
"Virginia Beach City Public Schools","Alanton Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Arrowhead Elementary",44,"Bachelor's Degree"
"Virginia Beach City Public Schools","Arrowhead Elementary",53,"Master's Degree"
"Virginia Beach City Public Schools","Arrowhead Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Bayside 6th Grade Campus",40,"Bachelor's Degree"
"Virginia Beach City Public Schools","Bayside 6th Grade Campus",58,"Master's Degree"
"Virginia Beach City Public Schools","Bayside 6th Grade Campus",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Bayside Elementary",47,"Bachelor's Degree"
"Virginia Beach City Public Schools","Bayside Elementary",53,"Master's Degree"
"Virginia Beach City Public Schools","Bayside Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Bayside High",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Bayside High",44,"Master's Degree"
"Virginia Beach City Public Schools","Bayside High",5,"Doctoral Degree"
"Virginia Beach City Public Schools","Bayside Middle",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Bayside Middle",52,"Master's Degree"
"Virginia Beach City Public Schools","Bayside Middle",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Birdneck Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Birdneck Elementary",48,"Master's Degree"
"Virginia Beach City Public Schools","Birdneck Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Brandon Middle",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Brandon Middle",45,"Master's Degree"
"Virginia Beach City Public Schools","Brandon Middle",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Brookwood Elementary",39,"Bachelor's Degree"
"Virginia Beach City Public Schools","Brookwood Elementary",59,"Master's Degree"
"Virginia Beach City Public Schools","Brookwood Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Centerville Elementary",46,"Bachelor's Degree"
"Virginia Beach City Public Schools","Centerville Elementary",54,"Master's Degree"
"Virginia Beach City Public Schools","Centerville Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Christopher Farms Elementary",31,"Bachelor's Degree"
"Virginia Beach City Public Schools","Christopher Farms Elementary",69,"Master's Degree"
"Virginia Beach City Public Schools","Christopher Farms Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","College Park Elementary",37,"Bachelor's Degree"
"Virginia Beach City Public Schools","College Park Elementary",54,"Master's Degree"
"Virginia Beach City Public Schools","College Park Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Corporate Landing Elementary",33,"Bachelor's Degree"
"Virginia Beach City Public Schools","Corporate Landing Elementary",65,"Master's Degree"
"Virginia Beach City Public Schools","Corporate Landing Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Corporate Landing Middle",34,"Bachelor's Degree"
"Virginia Beach City Public Schools","Corporate Landing Middle",61,"Master's Degree"
"Virginia Beach City Public Schools","Corporate Landing Middle",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Creeds Elementary",29,"Bachelor's Degree"
"Virginia Beach City Public Schools","Creeds Elementary",68,"Master's Degree"
"Virginia Beach City Public Schools","Creeds Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Diamond Springs Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Diamond Springs Elementary",48,"Master's Degree"
"Virginia Beach City Public Schools","Diamond Springs Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Fairfield Elementary",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","Fairfield Elementary",55,"Master's Degree"
"Virginia Beach City Public Schools","Fairfield Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","First Colonial High",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","First Colonial High",48,"Master's Degree"
"Virginia Beach City Public Schools","First Colonial High",4,"Doctoral Degree"
"Virginia Beach City Public Schools","Floyd Kellam High",45,"Bachelor's Degree"
"Virginia Beach City Public Schools","Floyd Kellam High",51,"Master's Degree"
"Virginia Beach City Public Schools","Floyd Kellam High",3,"Doctoral Degree"
"Virginia Beach City Public Schools","Frank W. Cox High",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Frank W. Cox High",54,"Master's Degree"
"Virginia Beach City Public Schools","Frank W. Cox High",4,"Doctoral Degree"
"Virginia Beach City Public Schools","Glenwood Elementary",37,"Bachelor's Degree"
"Virginia Beach City Public Schools","Glenwood Elementary",59,"Master's Degree"
"Virginia Beach City Public Schools","Glenwood Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Great Neck Middle",48,"Bachelor's Degree"
"Virginia Beach City Public Schools","Great Neck Middle",51,"Master's Degree"
"Virginia Beach City Public Schools","Great Neck Middle",1,"Doctoral Degree"
"Virginia Beach City Public Schools","Green Run Collegiate",40,"Bachelor's Degree"
"Virginia Beach City Public Schools","Green Run Collegiate",50,"Master's Degree"
"Virginia Beach City Public Schools","Green Run Collegiate",8,"Doctoral Degree"
"Virginia Beach City Public Schools","Green Run Elementary",34,"Bachelor's Degree"
"Virginia Beach City Public Schools","Green Run Elementary",61,"Master's Degree"
"Virginia Beach City Public Schools","Green Run Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Green Run High",44,"Bachelor's Degree"
"Virginia Beach City Public Schools","Green Run High",50,"Master's Degree"
"Virginia Beach City Public Schools","Green Run High",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Hermitage Elementary",39,"Bachelor's Degree"
"Virginia Beach City Public Schools","Hermitage Elementary",59,"Master's Degree"
"Virginia Beach City Public Schools","Hermitage Elementary",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Holland Elementary",41,"Bachelor's Degree"
"Virginia Beach City Public Schools","Holland Elementary",49,"Master's Degree"
"Virginia Beach City Public Schools","Holland Elementary",6,"Doctoral Degree"
"Virginia Beach City Public Schools","Independence Middle",43,"Bachelor's Degree"
"Virginia Beach City Public Schools","Independence Middle",57,"Master's Degree"
"Virginia Beach City Public Schools","Independence Middle",0,"Doctoral Degree"
"Virginia Beach City Public Schools","Indian Lakes Elementary",50,"Bachelor's Degree"
"Virginia Beach City Public Schools","Indian Lakes Elementary",45,"Master's Degree"
"Virginia Beach City Public Schools","Indian Lakes Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","John B. Dey Elementary",44,"Bachelor's Degree"
"Virginia Beach City Public Schools","John B. Dey Elementary",54,"Master's Degree"
"Virginia Beach City Public Schools","John B. Dey Elementary",2,"Doctoral Degree"
"Virginia Beach City Public Schools","Kempsville Elementary",45,"Bachelor's Degree"
