"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Wise County Public Schools","St. Paul Elementary",8996
"2018 - 2019","Waynesboro City Public Schools","Waynesboro High ",10595
"2018 - 2019","Waynesboro City Public Schools","Kate Collins Middle ",10911
"2018 - 2019","Waynesboro City Public Schools","William Perry Elementary ",11607
"2018 - 2019","Waynesboro City Public Schools","Westwood Hills Elementary ",10410
"2018 - 2019","Waynesboro City Public Schools","Berkeley Glenn Elementary ",12451
"2018 - 2019","Waynesboro City Public Schools","Wenonah Elementary ",11430
"2018 - 2019","Salem City Public Schools","Salem High",10503
"2018 - 2019","Salem City Public Schools","Andrew Lewis Middle",9857
"2018 - 2019","Salem City Public Schools","G.W. Carver Elementary",11251
"2018 - 2019","Salem City Public Schools","East Salem Elementary",10583
"2018 - 2019","Salem City Public Schools","West Salem Elementary",10576
"2018 - 2019","Salem City Public Schools","South Salem Elementary",9922
"2018 - 2019","Halifax County Public Schools","Halifax County High",10382
"2018 - 2019","Halifax County Public Schools","Halifax County Middle",9665
"2018 - 2019","Halifax County Public Schools","Cluster Springs Elementary",10376
"2018 - 2019","Halifax County Public Schools","South Boston Elementary",9430
"2018 - 2019","Halifax County Public Schools","Sinai Elementary",18857
"2018 - 2019","Halifax County Public Schools","Scottsburg Elementary",11596
"2018 - 2019","Halifax County Public Schools","Sydnor Jennings Elementary",13739
"2018 - 2019","Halifax County Public Schools","Clays Mill Elementary",13933
"2018 - 2019","Halifax County Public Schools","Meadville Elementary",6297
"2018 - 2019","Bristol City Public Schools","Virginia High",11669
"2018 - 2019","Bristol City Public Schools","Virginia Middle",9923
"2018 - 2019","Bristol City Public Schools","Joseph Van Pelt Elementary",9922
"2018 - 2019","Bristol City Public Schools","Stonewall Jackson Elementary",9259
"2018 - 2019","Bristol City Public Schools","Washington-Lee Elementary",12004
"2018 - 2019","Bristol City Public Schools","Highland View Elementary",11435
"2018 - 2019","Mathews County Public Schools","Mathews High",13141
"2018 - 2019","Mathews County Public Schools","Mathews Elementary",12333
"2018 - 2019","Mathews County Public Schools","Thomas Hunter Middle",11245
"2018 - 2019","Manassas City Public Schools","Osbourn High",12474
"2018 - 2019","Manassas City Public Schools","Grace E. Metz Middle ",12995
"2018 - 2019","Manassas City Public Schools","Mayfield Intermediate",12174
"2018 - 2019","Manassas City Public Schools","Jennie Dean Elementary",13845
"2018 - 2019","Manassas City Public Schools","Richard C. Haydon Elementary",13061
"2018 - 2019","Manassas City Public Schools","George Carr Round Elementary",13691
"2018 - 2019","Manassas City Public Schools","Baldwin Elementary",12695
"2018 - 2019","Manassas City Public Schools","Weems Elementary",12135
"2018 - 2019","Manassas City Public Schools","Baldwin Intermediate",11969
"2018 - 2019","Galax City Public Schools","Galax Elementary",9465
"2018 - 2019","Galax City Public Schools","Galax High",12397
"2018 - 2019","Galax City Public Schools","Galax Middle",9136
"2018 - 2019","Hanover County Public Schools","Atlee High",9327
"2018 - 2019","Hanover County Public Schools","Mechanicsville High",9877
"2018 - 2019","Hanover County Public Schools","Patrick Henry High",10245
"2018 - 2019","Hanover County Public Schools","Hanover High",9848
"2018 - 2019","Hanover County Public Schools","Chickahominy Middle",9568
"2018 - 2019","Hanover County Public Schools","Liberty Middle",10038
"2018 - 2019","Hanover County Public Schools","Bell Creek Middle",9833
"2018 - 2019","Hanover County Public Schools","Oak Knoll Middle",10581
"2018 - 2019","Hanover County Public Schools","Mechanicsville Elementary",11065
"2018 - 2019","Hanover County Public Schools","Cool Spring Elementary",10136
"2018 - 2019","Hanover County Public Schools","Kersey Creek Elementary",9132
"2018 - 2019","Hanover County Public Schools","Laurel Meadow Elementary",10666
"2018 - 2019","Hanover County Public Schools","Rural Point Elementary",11241
"2018 - 2019","Hanover County Public Schools","Cold Harbor Elementary",10271
"2018 - 2019","Hanover County Public Schools","Pearson's Corner Elementary",9599
"2018 - 2019","Hanover County Public Schools","Pole Green Elementary",9361
"2018 - 2019","Hanover County Public Schools","South Anna Elementary",9888
"2018 - 2019","Hanover County Public Schools","Elmont Elementary",12437
"2018 - 2019","Hanover County Public Schools","Battlefield Park Elementary",10598
"2018 - 2019","Hanover County Public Schools","John M. Gandy Elementary",13485
"2018 - 2019","Hanover County Public Schools","Henry Clay Elementary",11193
"2018 - 2019","Hanover County Public Schools","Washington-Henry Elementary ",10289
"2018 - 2019","Hanover County Public Schools","Beaverdam Elementary",11685
"2018 - 2019","Pittsylvania County Public Schools","Tunstall High",9760
"2018 - 2019","Pittsylvania County Public Schools","Dan River High",9751
"2018 - 2019","Pittsylvania County Public Schools","Twin Springs Elementary",8327
"2018 - 2019","Pittsylvania County Public Schools","Chatham High",10415
"2018 - 2019","Pittsylvania County Public Schools","Gretna High",10634
"2018 - 2019","Pittsylvania County Public Schools","Tunstall Middle",8875
"2018 - 2019","Pittsylvania County Public Schools","Kentuck Elementary",8647
"2018 - 2019","Pittsylvania County Public Schools","Gretna Elementary",9273
"2018 - 2019","Pittsylvania County Public Schools","Dan River Middle",9708
"2018 - 2019","Pittsylvania County Public Schools","Chatham Middle",10219
"2018 - 2019","Pittsylvania County Public Schools","Gretna Middle",10031
"2018 - 2019","Pittsylvania County Public Schools","Stony Mill Elementary",9223
"2018 - 2019","Pittsylvania County Public Schools","Southside Elementary",9677
"2018 - 2019","Pittsylvania County Public Schools","John L. Hurt Elementary",11131
"2018 - 2019","Pittsylvania County Public Schools","Brosville Elementary ",11359
"2018 - 2019","Pittsylvania County Public Schools","Chatham Elementary",10493
"2018 - 2019","Pittsylvania County Public Schools","Union Hall Elementary",11320
"2018 - 2019","Pittsylvania County Public Schools","Mount Airy Elementary",14074
"2018 - 2019","Smyth County Public Schools","Marion Senior High",10093
"2018 - 2019","Smyth County Public Schools","Chilhowie Elementary",8281
"2018 - 2019","Smyth County Public Schools","Oak Point Elementary",11098
"2018 - 2019","Smyth County Public Schools","Marion Middle",8191
"2018 - 2019","Smyth County Public Schools","Chilhowie High",9176
"2018 - 2019","Smyth County Public Schools","Marion Elementary",9588
"2018 - 2019","Smyth County Public Schools","Northwood High",10211
"2018 - 2019","Smyth County Public Schools","Chilhowie Middle",8684
"2018 - 2019","Smyth County Public Schools","Northwood Middle",13080
"2018 - 2019","Smyth County Public Schools","Saltville Elementary",10888
"2018 - 2019","Smyth County Public Schools","Atkins Elementary",9248
"2018 - 2019","Smyth County Public Schools","Rich Valley Elementary",10060
"2018 - 2019","Smyth County Public Schools","Sugar Grove Elementary",12497
"2018 - 2019","Roanoke City Public Schools","Patrick Henry High",11355
"2018 - 2019","Roanoke City Public Schools","William Fleming High",12374
"2018 - 2019","Roanoke City Public Schools","Round Hill Elementary",12114
"2018 - 2019","Roanoke City Public Schools","Westside Elementary",11521
"2018 - 2019","Roanoke City Public Schools","Fallon Park Elementary",12855
"2018 - 2019","Roanoke City Public Schools","Addison Aerospace Magnet Middle",12306
"2018 - 2019","Roanoke City Public Schools","Breckinridge Middle",10732
"2018 - 2019","Roanoke City Public Schools","Roanoke Academy For Mathematics & Science Elementary",16555
"2018 - 2019","Roanoke City Public Schools","John P. Fishwick Middle",13221
"2018 - 2019","Roanoke City Public Schools","Fairview Elementary",12044
"2018 - 2019","Roanoke City Public Schools","James Madison Middle",11764
"2018 - 2019","Roanoke City Public Schools","Woodrow Wilson Middle",11718
"2018 - 2019","Roanoke City Public Schools","Preston Park Elementary",12294
"2018 - 2019","Roanoke City Public Schools","Monterey Elementary",10805
"2018 - 2019","Roanoke City Public Schools","Hurt Park Elementary",14140
"2018 - 2019","Roanoke City Public Schools","Highland Park Elementary",12787
"2018 - 2019","Roanoke City Public Schools","Lincoln Terrace Elementary",14167
"2018 - 2019","Roanoke City Public Schools","Crystal Spring Elementary",11701
"2018 - 2019","Roanoke City Public Schools","Virginia Heights Elementary",13692
"2018 - 2019","Roanoke City Public Schools","Grandin Court Elementary",12199
"2018 - 2019","Roanoke City Public Schools","Fishburn Park Elementary",13855
"2018 - 2019","Roanoke City Public Schools","Morningside Elementary",14340
"2018 - 2019","Roanoke City Public Schools","Garden City Elementary",13935
"2018 - 2019","Roanoke City Public Schools","Wasena Elementary",13959
"2018 - 2019","Roanoke County Public Schools","Cave Spring High",10369
"2018 - 2019","Roanoke County Public Schools","William Byrd High",9474
"2018 - 2019","Roanoke County Public Schools","Northside High",9493
"2018 - 2019","Roanoke County Public Schools","Hidden Valley High",10115
"2018 - 2019","Roanoke County Public Schools","William Byrd Middle",9602
"2018 - 2019","Roanoke County Public Schools","Cave Spring Middle",9048
"2018 - 2019","Roanoke County Public Schools","Northside Middle",9607
"2018 - 2019","Roanoke County Public Schools","Glenvar High",10819
"2018 - 2019","Roanoke County Public Schools","Hidden Valley Middle",10215
"2018 - 2019","Roanoke County Public Schools","Penn Forest Elementary",10646
"2018 - 2019","Roanoke County Public Schools","Cave Spring Elementary",9667
"2018 - 2019","Roanoke County Public Schools","Green Valley Elementary",8931
"2018 - 2019","Roanoke County Public Schools","Burlington Elementary",10627
"2018 - 2019","Roanoke County Public Schools","W.E. Cundiff Elementary",9348
"2018 - 2019","Roanoke County Public Schools","Herman L. Horn Elementary",10681
"2018 - 2019","Roanoke County Public Schools","Glenvar Middle",10153
"2018 - 2019","Roanoke County Public Schools","Glen Cove Elementary",9259
"2018 - 2019","Roanoke County Public Schools","Oak Grove Elementary",10376
"2018 - 2019","Roanoke County Public Schools","Mountain View Elementary",12420
"2018 - 2019","Roanoke County Public Schools","Bonsack Elementary",10925
"2018 - 2019","Roanoke County Public Schools","Glenvar Elementary",9930
"2018 - 2019","Roanoke County Public Schools","Mount Pleasant Elementary",10993
"2018 - 2019","Roanoke County Public Schools","Clearbrook Elementary",10670
"2018 - 2019","Roanoke County Public Schools","Back Creek Elementary",11041
"2018 - 2019","Roanoke County Public Schools","Fort Lewis Elementary",11142
"2018 - 2019","Roanoke County Public Schools","Mason's Cove Elementary",14085
"2018 - 2019","Buckingham County Public Schools","Buckingham County High",12468
"2018 - 2019","Buckingham County Public Schools","Buckingham County Middle",10358
"2018 - 2019","Buckingham County Public Schools","Buckingham Co Primary",10468
"2018 - 2019","Buckingham County Public Schools","Buckingham Co Elementary",8994
"2018 - 2019","Amherst County Public Schools","Amherst County High",11249
"2018 - 2019","Amherst County Public Schools","Monelison Middle",9523
"2018 - 2019","Amherst County Public Schools","Amelon Elementary",9723
"2018 - 2019","Amherst County Public Schools","Madison Heights Elementary",10041
"2018 - 2019","Amherst County Public Schools","Central Elementary",11435
"2018 - 2019","Amherst County Public Schools","Amherst Middle",9910
"2018 - 2019","Amherst County Public Schools","Elon Elementary",9688
"2018 - 2019","Amherst County Public Schools","Amherst Elementary",10703
"2018 - 2019","Amherst County Public Schools","Temperance Elementary",10828
"2018 - 2019","Henrico County Public Schools","Highland Springs High",8867
"2018 - 2019","Henrico County Public Schools","Henrico High",10134
"2018 - 2019","Henrico County Public Schools","John Randolph Tucker High",9431
"2018 - 2019","Henrico County Public Schools","Hermitage High",9768
"2018 - 2019","Henrico County Public Schools","Mills E. Godwin High",8565
"2018 - 2019","Henrico County Public Schools","Glen Allen High",8403
"2018 - 2019","Henrico County Public Schools","Douglas S. Freeman High",8690
"2018 - 2019","Henrico County Public Schools","Deep Run High",8797
"2018 - 2019","Henrico County Public Schools","Varina High",9869
"2018 - 2019","Henrico County Public Schools","Brookland Middle",9689
"2018 - 2019","Henrico County Public Schools","Quioccasin Middle",9199
"2018 - 2019","Henrico County Public Schools","Fairfield Middle",9424
"2018 - 2019","Henrico County Public Schools","Hungary Creek Middle ",9713
"2018 - 2019","Henrico County Public Schools","Tuckahoe Middle",8761
"2018 - 2019","Henrico County Public Schools","George H. Moody Middle",8999
"2018 - 2019","Henrico County Public Schools","John Rolfe Middle",10802
"2018 - 2019","Henrico County Public Schools","L. Douglas Wilder Middle",11607
"2018 - 2019","Henrico County Public Schools","Short Pump Middle",9151
"2018 - 2019","Henrico County Public Schools","Holman Middle ",8744
"2018 - 2019","Henrico County Public Schools","Elko Middle",10410
"2018 - 2019","Henrico County Public Schools","Pocahontas Middle",8759
"2018 - 2019","Henrico County Public Schools","Highland Springs Elementary",11761
"2018 - 2019","Henrico County Public Schools","Rivers Edge Elementary",8458
"2018 - 2019","Henrico County Public Schools","Colonial Trail Elementary",8912
"2018 - 2019","Henrico County Public Schools","Dumbarton Elementary",9430
"2018 - 2019","Henrico County Public Schools","Elizabeth Holladay Elementary",9936
"2018 - 2019","Henrico County Public Schools","Shady Grove Elementary",8802
"2018 - 2019","Henrico County Public Schools","Springfield Park Elementary",8783
"2018 - 2019","Henrico County Public Schools","Tuckahoe Elementary",9063
"2018 - 2019","Henrico County Public Schools","Laburnum Elementary",10293
"2018 - 2019","Henrico County Public Schools","Maybeury Elementary",8890
"2018 - 2019","Henrico County Public Schools","Harvie Elementary",9480
"2018 - 2019","Henrico County Public Schools","Glen Allen Elementary",8774
"2018 - 2019","Henrico County Public Schools","Greenwood Elementary ",9225
"2018 - 2019","Henrico County Public Schools","Henry D. Ward Elementary",10928
"2018 - 2019","Henrico County Public Schools","Cashell Donahoe Elementary",10156
"2018 - 2019","Henrico County Public Schools","Nuckols Farm Elementary",8845
"2018 - 2019","Henrico County Public Schools","Charles M. Johnson Elementary",9672
"2018 - 2019","Henrico County Public Schools","Longdale Elementary",10804
"2018 - 2019","Henrico County Public Schools","Ridge Elementary",10076
"2018 - 2019","Henrico County Public Schools","Harold Macon Ratcliffe Elementary",12344
"2018 - 2019","Henrico County Public Schools","Twin Hickory Elementary",8967
"2018 - 2019","Henrico County Public Schools","Jackson Davis Elementary",9850
"2018 - 2019","Henrico County Public Schools","Arthur Ashe Jr. Elementary ",10504
"2018 - 2019","Henrico County Public Schools","Glen Lea Elementary",11652
"2018 - 2019","Henrico County Public Schools","Lakeside Elementary",9847
"2018 - 2019","Henrico County Public Schools","Pinchbeck Elementary",8746
"2018 - 2019","Henrico County Public Schools","Skipwith Elementary",9452
"2018 - 2019","Henrico County Public Schools","Gayton Elementary",8445
"2018 - 2019","Henrico County Public Schools","Short Pump Elementary",8365
"2018 - 2019","Henrico County Public Schools","Echo Lake Elementary",9119
"2018 - 2019","Henrico County Public Schools","Fair Oaks Elementary",12022
"2018 - 2019","Henrico County Public Schools","R.C. Longan Elementary",9539
"2018 - 2019","Henrico County Public Schools","Jacob L. Adams Elementary",10224
"2018 - 2019","Henrico County Public Schools","Maude Trevvett Elementary",8835
"2018 - 2019","Henrico County Public Schools","Ruby F. Carver Elementary",9769
"2018 - 2019","Henrico County Public Schools","Chamberlayne Elementary",10925
"2018 - 2019","Henrico County Public Schools","George F. Baker Elementary",10419
"2018 - 2019","Henrico County Public Schools","Montrose Elementary",11559
"2018 - 2019","Henrico County Public Schools","David A. Kaechele Elementary ",9652
"2018 - 2019","Henrico County Public Schools","Crestview Elementary",11152
"2018 - 2019","Henrico County Public Schools","Seven Pines Elementary",10378
"2018 - 2019","Henrico County Public Schools","Varina Elementary",10927
"2018 - 2019","Henrico County Public Schools","Anthony P. Mehfoud Elementary",11083
"2018 - 2019","Henrico County Public Schools","Pemberton Elementary",11141
"2018 - 2019","Henrico County Public Schools","Three Chopt Elementary",9530
"2018 - 2019","Henrico County Public Schools","Sandston Elementary",12438
"2018 - 2019","Dinwiddie County Public Schools","Dinwiddie County High",10744
"2018 - 2019","Dinwiddie County Public Schools","Dinwiddie County Middle",9675
"2018 - 2019","Dinwiddie County Public Schools","Sutherland Elementary",10768
"2018 - 2019","Dinwiddie County Public Schools","Southside Elementary",11401
"2018 - 2019","Dinwiddie County Public Schools","Dinwiddie Elementary",12403
"2018 - 2019","Dinwiddie County Public Schools","Midway Elementary",9761
"2018 - 2019","Dinwiddie County Public Schools","Sunnyside Elementary",12168
"2018 - 2019","Covington City Public Schools","Covington High",12079
"2018 - 2019","Covington City Public Schools","Edgemont Primary",8567
"2018 - 2019","Covington City Public Schools","Jeter-Watson Intermediate",9536
"2018 - 2019","Loudoun County Public Schools","Rock Ridge High",13801
"2018 - 2019","Loudoun County Public Schools","Freedom High ",13740
"2018 - 2019","Loudoun County Public Schools","Woodgrove High",17126
"2018 - 2019","Loudoun County Public Schools","Briar Woods High ",14662
"2018 - 2019","Loudoun County Public Schools","Potomac Falls High",16121
"2018 - 2019","Loudoun County Public Schools","Heritage High",17801
"2018 - 2019","Loudoun County Public Schools","Park View High",18552
"2018 - 2019","Loudoun County Public Schools","Stone Bridge High",14929
"2018 - 2019","Loudoun County Public Schools","Riverside High",14210
"2018 - 2019","Loudoun County Public Schools","Dominion High",15753
"2018 - 2019","Loudoun County Public Schools","Broad Run High",15498
"2018 - 2019","Loudoun County Public Schools","Tuscarora High",16439
"2018 - 2019","Loudoun County Public Schools","Loudoun County High",16790
"2018 - 2019","Loudoun County Public Schools","John Champe High",14668
"2018 - 2019","Loudoun County Public Schools","Loudoun Valley High",16978
"2018 - 2019","Loudoun County Public Schools","J. Michael Lunsford Middle",13343
"2018 - 2019","Loudoun County Public Schools","Mercer Middle ",12575
"2018 - 2019","Loudoun County Public Schools","Belmont Ridge Middle",13948
"2018 - 2019","Loudoun County Public Schools","Harmony Middle",16147
"2018 - 2019","Loudoun County Public Schools","J. Lupton Simpson Middle",16190
"2018 - 2019","Loudoun County Public Schools","Brambleton Middle",13173
"2018 - 2019","Loudoun County Public Schools","Harper Park Middle",16312
"2018 - 2019","Loudoun County Public Schools","River Bend Middle",14241
"2018 - 2019","Loudoun County Public Schools","Sterling Middle",16482
"2018 - 2019","Loudoun County Public Schools","Smart's Mill Middle ",15981
"2018 - 2019","Loudoun County Public Schools","Trailside Middle",13621
"2018 - 2019","Loudoun County Public Schools","Farmwell Station Middle",14634
"2018 - 2019","Loudoun County Public Schools","Willard Middle",12210
"2018 - 2019","Loudoun County Public Schools","Eagle Ridge Middle",13395
"2018 - 2019","Loudoun County Public Schools","Seneca Ridge Middle",15501
"2018 - 2019","Loudoun County Public Schools","Blue Ridge Middle",16728
"2018 - 2019","Loudoun County Public Schools","Stone Hill Middle",14935
"2018 - 2019","Loudoun County Public Schools","Madison's Trust Elementary",11903
"2018 - 2019","Loudoun County Public Schools","Creighton's Corner Elementary",12490
"2018 - 2019","Loudoun County Public Schools","Goshen Post Elementary",11935
"2018 - 2019","Loudoun County Public Schools","Moorefield Station Elementary",13802
"2018 - 2019","Loudoun County Public Schools","Legacy Elementary ",13208
"2018 - 2019","Loudoun County Public Schools","Arcola Elementary",14146
"2018 - 2019","Loudoun County Public Schools","Liberty Elementary",12251
"2018 - 2019","Loudoun County Public Schools","Buffalo Trail Elementary",12765
"2018 - 2019","Loudoun County Public Schools","Pinebrook Elementary",13780
"2018 - 2019","Loudoun County Public Schools","Discovery Elementary",14545
"2018 - 2019","Loudoun County Public Schools","Hutchison Farm Elementary",15218
"2018 - 2019","Loudoun County Public Schools","Frederick Douglass Elementary",16850
"2018 - 2019","Loudoun County Public Schools","Mill Run Elementary",13019
"2018 - 2019","Loudoun County Public Schools","Rosa Lee Carter Elementary",12988
"2018 - 2019","Loudoun County Public Schools","Cardinal Ridge Elementary ",13466
"2018 - 2019","Loudoun County Public Schools","Cedar Lane Elementary",14332
"2018 - 2019","Loudoun County Public Schools","Steuart W. Weller Elementary",13974
"2018 - 2019","Loudoun County Public Schools","Countryside Elementary",14768
"2018 - 2019","Loudoun County Public Schools","Seldens Landing Elementary",14844
"2018 - 2019","Loudoun County Public Schools","Belmont Station Elementary ",14934
"2018 - 2019","Loudoun County Public Schools","Mountain View Elementary",15521
"2018 - 2019","Loudoun County Public Schools","Frances Hazel Reid Elementary",15682
"2018 - 2019","Loudoun County Public Schools","Sycolin Creek Elementary",15154
"2018 - 2019","Loudoun County Public Schools","John W. Tolbert Jr. Elementary ",14854
"2018 - 2019","Loudoun County Public Schools","Little River Elementary",13121
"2018 - 2019","Loudoun County Public Schools","Newton-Lee Elementary ",14863
"2018 - 2019","Loudoun County Public Schools","Hillside Elementary",12798
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",16706
"2018 - 2019","Loudoun County Public Schools","Catoctin Elementary",14854
"2018 - 2019","Loudoun County Public Schools","Dominion Trail Elementary",13981
"2018 - 2019","Loudoun County Public Schools","Horizon Elementary",15038
"2018 - 2019","Loudoun County Public Schools","Cool Spring Elementary",15969
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",15460
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",16338
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",16808
"2018 - 2019","Loudoun County Public Schools","Ball's Bluff Elementary",15522
"2018 - 2019","Loudoun County Public Schools","Evergreen Mill Elementary",17091
"2018 - 2019","Loudoun County Public Schools","Ashburn Elementary",15066
"2018 - 2019","Loudoun County Public Schools","Round Hill Elementary",17054
"2018 - 2019","Loudoun County Public Schools","Potowmack Elementary",15800
"2018 - 2019","Loudoun County Public Schools","Kenneth W.Culbert Elementary",17572
"2018 - 2019","Loudoun County Public Schools","Sanders Corner Elementary",15755
"2018 - 2019","Loudoun County Public Schools","Leesburg Elementary",16807
"2018 - 2019","Loudoun County Public Schools","Lovettsville Elementary",15646
"2018 - 2019","Loudoun County Public Schools","Sully Elementary",18541
"2018 - 2019","Loudoun County Public Schools","Algonkian Elementary",16922
"2018 - 2019","Loudoun County Public Schools","Lowes Island Elementary",12969
"2018 - 2019","Loudoun County Public Schools","Emerick Elementary",15196
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",16341
"2018 - 2019","Loudoun County Public Schools","Meadowland Elementary",15899
"2018 - 2019","Madison County Public Schools","Madison County High",12215
"2018 - 2019","Loudoun County Public Schools","Lucketts Elementary",17000
"2018 - 2019","Madison County Public Schools","Madison Primary",12523
"2018 - 2019","Madison County Public Schools","William H. Wetsel Middle",10511
"2018 - 2019","Madison County Public Schools","Waverly Yowell Elementary",10943
"2018 - 2019","Loudoun County Public Schools","Hamilton Elementary",19352
"2018 - 2019","Loudoun County Public Schools","Banneker Elementary",18095
"2018 - 2019","Loudoun County Public Schools","Waterford Elementary",15725
"2018 - 2019","Loudoun County Public Schools","Hillsboro Charter Academy",18499
"2018 - 2019","Loudoun County Public Schools","Middleburg Community Charter",18512
"2018 - 2019","Loudoun County Public Schools","Aldie Elementary",19679
"2018 - 2019","Loudoun County Public Schools","Lincoln Elementary",22388
"2018 - 2019","Louisa County Public Schools","Louisa County High",11706
"2018 - 2019","Louisa County Public Schools","Louisa County Middle",10817
"2018 - 2019","Louisa County Public Schools","Thomas Jefferson Elementary",11976
"2018 - 2019","Louisa County Public Schools","Moss-Nuckols Elementary",11064
"2018 - 2019","Louisa County Public Schools","Jouett Elementary",10871
"2018 - 2019","Louisa County Public Schools","Trevilians Elementary",13118
"2018 - 2019","Norton City Public Schools","Norton Elementary",8021
"2018 - 2019","Norton City Public Schools","J.I. Burton High ",9467
"2018 - 2019","Culpeper County Public Schools","Eastern View High",9713
"2018 - 2019","Culpeper County Public Schools","Culpeper County High",11192
"2018 - 2019","Culpeper County Public Schools","Culpeper Middle",9145
"2018 - 2019","Culpeper County Public Schools","Floyd T. Binns Middle",9718
"2018 - 2019","Culpeper County Public Schools","Emerald Hill Elementary",9937
"2018 - 2019","Culpeper County Public Schools","Sycamore Park Elementary",10353
"2018 - 2019","Culpeper County Public Schools","Yowell Elementary",9127
"2018 - 2019","Culpeper County Public Schools","A.G. Richardson Elementary",10689
"2018 - 2019","Culpeper County Public Schools","Farmington Elementary",9801
"2018 - 2019","Culpeper County Public Schools","Pearl Sample Elementary",11856
"2018 - 2019","Tazewell County Public Schools","Richlands High",8362
"2018 - 2019","Tazewell County Public Schools","Richlands Elementary",8474
"2018 - 2019","Tazewell County Public Schools","Richlands Middle",9067
"2018 - 2019","Tazewell County Public Schools","Tazewell High",9582
"2018 - 2019","Tazewell County Public Schools","Graham High",8969
"2018 - 2019","Tazewell County Public Schools","Tazewell Middle",9436
"2018 - 2019","Tazewell County Public Schools","Tazewell Primary",8692
"2018 - 2019","Tazewell County Public Schools","Graham Middle",9326
"2018 - 2019","Tazewell County Public Schools","Cedar Bluff Elementary",7912
"2018 - 2019","Tazewell County Public Schools","Dudley Primary",8739
"2018 - 2019","Tazewell County Public Schools","Graham Intermediate",7644
"2018 - 2019","Tazewell County Public Schools","Tazewell Intermediate",8801
"2018 - 2019","Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",7283
"2018 - 2019","Manassas Park City Public Schools","Manassas Park High",10055
"2018 - 2019","Manassas Park City Public Schools","Cougar Elementary",10099
"2018 - 2019","Manassas Park City Public Schools","Manassas Park Elementary",10639
"2018 - 2019","Manassas Park City Public Schools","Manassas Park Middle",9981
"2018 - 2019","Rockbridge County Public Schools","Rockbridge County High",11525
"2018 - 2019","Rockbridge County Public Schools","Maury River Middle",10285
"2018 - 2019","Rockbridge County Public Schools","Central Elementary",10097
"2018 - 2019","Rockbridge County Public Schools","Natural Bridge Elementary",13505
"2018 - 2019","Rockbridge County Public Schools","Fairfield Elementary",12077
"2018 - 2019","Rockbridge County Public Schools","Mountain View Elementary",16503
"2018 - 2019","Washington County Public Schools","Abingdon High",9858
"2018 - 2019","Washington County Public Schools","E.B. Stanley Middle",9548
"2018 - 2019","Washington County Public Schools","Meadowview Elementary",9905
"2018 - 2019","Washington County Public Schools","High Point Elementary",9639
"2018 - 2019","Washington County Public Schools","Abingdon Elementary",11528
"2018 - 2019","Washington County Public Schools","John S. Battle High",8729
"2018 - 2019","Washington County Public Schools","Watauga Elementary",9077
"2018 - 2019","Washington County Public Schools","Wallace Middle",9807
"2018 - 2019","Washington County Public Schools","Patrick Henry High",10059
"2018 - 2019","Washington County Public Schools","Rhea Valley Elementary",10646
"2018 - 2019","Washington County Public Schools","Greendale Elementary",12342
"2018 - 2019","Washington County Public Schools","Valley Institute Elementary",10695
"2018 - 2019","Washington County Public Schools","Glade Spring Middle",10940
"2018 - 2019","Washington County Public Schools","Holston High",10287
"2018 - 2019","Washington County Public Schools","Damascus Middle",11705
"2018 - 2019","Chesapeake City Public Schools","Oscar F. Smith High",10608
"2018 - 2019","Chesapeake City Public Schools","Western Branch High",10314
"2018 - 2019","Chesapeake City Public Schools","Grassfield High",8839
"2018 - 2019","Chesapeake City Public Schools","Hickory High",11095
"2018 - 2019","Chesapeake City Public Schools","Indian River High",10838
"2018 - 2019","Chesapeake City Public Schools","Deep Creek High",10407
"2018 - 2019","Chesapeake City Public Schools","Great Bridge High",11306
"2018 - 2019","Chesapeake City Public Schools","Greenbrier Middle",16356
"2018 - 2019","Chesapeake City Public Schools","Great Bridge Middle",10654
"2018 - 2019","Chesapeake City Public Schools","Hickory Middle",10938
"2018 - 2019","Chesapeake City Public Schools","Oscar Smith Middle",13296
"2018 - 2019","Chesapeake City Public Schools","Hugo A. Owens Middle",10098
"2018 - 2019","Chesapeake City Public Schools","Grassfield Elementary",10162
"2018 - 2019","Chesapeake City Public Schools","Western Branch Middle",11786
"2018 - 2019","Chesapeake City Public Schools","Indian River Middle",13492
"2018 - 2019","Chesapeake City Public Schools","B.M. Williams Primary",11432
"2018 - 2019","Chesapeake City Public Schools","Georgetown Primary",11456
"2018 - 2019","Chesapeake City Public Schools","Jolliff Middle",13565
"2018 - 2019","Chesapeake City Public Schools","Deep Creek Middle",11968
"2018 - 2019","Chesapeake City Public Schools","Edwin W. Chittum Elementary",10993
"2018 - 2019","Chesapeake City Public Schools","Crestwood Middle",14031
"2018 - 2019","Chesapeake City Public Schools","Crestwood Intermediate",11782
"2018 - 2019","Chesapeake City Public Schools","Southeastern Elementary",10043
"2018 - 2019","Chesapeake City Public Schools","Cedar Road Elementary",9561
"2018 - 2019","Chesapeake City Public Schools","Western Branch Intermediate",9711
"2018 - 2019","Chesapeake City Public Schools","Greenbrier Primary",10371
