"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Chesapeake City Public Schools","Georgetown Primary",72,NA,90,NA,NA,NA,NA,NA,70,NA,89,NA,66,NA,87,NA,NA,NA,NA,NA,83,NA,93,NA,71,NA,93,NA,61,NA,87,NA,38,NA,65,NA,82,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Western Branch Intermediate",75,91,84,77,81,90,100,91,64,82,76,60,63,86,77,59,50,NA,94,NA,78,90,87,77,86,94,92,82,72,92,82,77,45,68,61,55,81,97,88,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Oscar F. Smith High",83,80,86,80,95,100,100,97,79,71,82,72,75,71,81,72,36,53,67,39,87,83,88,82,79,85,87,81,80,78,83,78,55,53,67,46,91,92,90,93,77,95,70,69,36,84,80,69,43,87
"Chesapeake City Public Schools","Sparrow Road Intermediate",73,70,79,62,100,100,100,100,63,57,72,45,66,60,74,52,73,60,75,40,76,67,83,64,75,69,87,69,71,73,76,60,48,51,55,37,85,87,84,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Western Branch Middle",82,75,83,87,82,82,95,88,75,61,77,79,72,63,75,76,20,NA,89,NA,86,75,88,89,92,92,94,100,78,76,79,85,50,48,58,64,87,80,86,95,78,73,66,62,NA,87,92,68,40,87
"Chesapeake City Public Schools","G.A. Treakle Elementary",64,75,77,73,NA,NA,NA,NA,57,72,68,65,60,74,75,71,50,NA,75,NA,69,76,78,76,69,92,87,92,59,75,76,71,32,31,46,31,66,75,81,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Indian River Middle",79,78,83,84,100,100,100,NA,74,69,78,77,76,73,80,79,33,NA,63,NA,80,78,85,79,87,81,91,95,78,78,81,88,49,60,58,61,87,87,87,91,73,NA,68,73,NA,76,85,70,44,77
"Chesapeake City Public Schools","Crestwood Intermediate",71,77,85,68,95,90,100,90,65,71,83,58,61,68,79,59,44,NA,71,NA,75,78,86,68,65,71,81,64,68,77,84,69,39,41,55,37,79,83,85,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Deep Creek Central Elementary",85,85,93,80,NA,NA,NA,NA,72,77,88,65,73,79,91,68,NA,NA,NA,NA,86,80,93,73,95,100,95,92,84,90,92,85,57,59,73,53,88,87,93,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Edwin W. Chittum Elementary",82,91,88,86,NA,NA,NA,NA,74,86,74,80,64,83,76,74,NA,NA,NA,NA,86,95,95,89,75,91,84,91,79,88,82,84,56,71,62,60,85,94,92,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Southeastern Elementary",87,97,95,93,87,100,96,89,60,100,80,67,74,92,89,79,NA,NA,NA,NA,90,96,95,93,81,100,97,100,85,97,95,94,68,84,77,72,89,96,97,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Deep Creek Middle",80,79,79,82,67,NA,89,NA,74,76,72,78,71,66,67,67,29,NA,47,50,82,80,80,79,79,74,80,70,79,79,78,85,52,59,57,42,84,83,83,87,74,NA,70,56,20,80,60,68,43,80
"Chesapeake City Public Schools","Southwestern Elementary",66,77,78,67,NA,NA,NA,NA,63,78,76,63,59,70,74,56,33,NA,50,NA,79,77,80,75,68,50,76,67,54,78,77,60,29,46,50,23,71,NA,86,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunswick County Public Schools","James S. Russell Middle",64,82,63,62,NA,NA,NA,NA,60,81,58,60,63,75,55,61,NA,NA,NA,NA,67,81,64,62,68,NA,84,NA,62,82,62,63,38,38,36,15,82,83,77,70,54,NA,52,53,NA,61,NA,48,16,73
"Chesapeake City Public Schools","Great Bridge Middle",92,90,91,96,93,94,100,100,87,77,84,100,85,82,85,91,14,NA,78,NA,93,90,91,96,87,87,86,90,92,91,92,96,66,70,66,77,93,92,93,96,88,100,85,74,NA,91,76,85,54,90
"Chesapeake City Public Schools","Crestwood Middle",78,77,84,86,92,NA,92,NA,74,71,80,85,71,69,79,86,55,33,73,NA,83,80,90,81,81,82,87,85,74,75,78,90,42,44,43,63,82,90,88,92,80,NA,73,73,NA,87,90,75,44,88
"Chesapeake City Public Schools","George W. Carver Intermediate",67,80,80,76,NA,NA,NA,NA,60,73,73,67,62,77,73,71,41,44,67,56,72,82,81,73,63,83,81,83,63,78,79,78,42,48,55,46,84,91,89,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunswick County Public Schools","Brunswick High",76,64,62,70,NA,NA,NA,NA,72,63,59,68,65,50,51,61,NA,NA,NA,NA,82,69,80,74,NA,60,83,NA,69,58,49,65,42,21,35,33,87,69,71,74,70,NA,65,62,NA,76,NA,64,29,86
"Chesapeake City Public Schools","Thurgood Marshall Elementary",73,84,89,75,NA,NA,NA,NA,72,83,89,73,73,86,89,75,NA,NA,NA,NA,76,75,90,76,100,NA,100,NA,70,94,88,74,44,77,68,54,80,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Hickory Elementary",84,86,88,84,NA,NA,NA,NA,83,100,75,83,87,81,81,86,NA,NA,NA,NA,88,83,92,83,80,NA,80,NA,82,88,86,84,42,57,45,43,85,86,90,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Hickory Middle",88,90,90,91,94,100,91,100,87,72,89,72,73,85,77,84,29,NA,43,NA,92,92,92,90,84,80,89,94,85,89,89,92,54,66,59,59,89,92,91,93,85,100,79,69,NA,90,84,80,53,86
"Chesapeake City Public Schools","Deep Creek Elementary",82,93,90,80,75,86,100,71,78,100,88,74,78,98,88,82,66,83,94,50,86,95,90,81,80,100,93,88,78,92,90,78,48,85,72,60,85,93,90,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Norfolk Highlands Primary",60,NA,80,NA,NA,NA,NA,NA,39,NA,64,NA,50,NA,73,NA,NA,NA,NA,NA,64,NA,82,NA,60,NA,60,NA,57,NA,79,NA,23,NA,54,NA,73,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake City Public Schools","Great Bridge High",91,90,90,90,100,100,100,96,76,77,76,77,89,77,79,75,NA,83,100,NA,91,88,90,89,96,94,92,88,91,91,90,91,48,69,62,61,96,93,95,94,88,100,71,82,NA,91,90,86,45,94
"Chesapeake City Public Schools","Deep Creek High",87,78,92,80,92,92,95,90,78,68,89,72,77,64,89,68,14,46,83,30,90,76,92,79,86,79,97,71,84,80,91,81,51,53,71,50,92,86,93,90,84,92,75,74,0,87,79,81,47,90
"Chesapeake City Public Schools","Oscar Smith Middle",61,56,65,66,NA,NA,NA,NA,57,49,61,61,53,51,58,61,26,44,42,14,67,58,69,68,62,67,67,61,55,55,61,63,27,26,34,24,72,74,77,79,48,NA,44,41,NA,59,49,38,12,57
"Franklin City Public Schools","Joseph P. King Jr. Middle",81,95,83,69,NA,NA,NA,NA,79,94,81,64,81,92,80,63,NA,NA,NA,NA,86,97,85,57,NA,NA,NA,NA,78,93,82,77,61,100,74,64,93,100,90,90,65,NA,64,59,NA,63,NA,66,55,80
"Franklin City Public Schools","Franklin High",84,62,58,77,NA,NA,NA,NA,80,57,54,73,81,57,58,73,NA,NA,NA,NA,88,56,64,77,NA,40,60,67,81,69,52,78,50,60,33,44,100,92,76,100,77,NA,71,70,NA,86,NA,69,44,100
"Franklin City Public Schools","S.P. Morton Elementary",54,83,68,44,NA,NA,NA,NA,48,77,64,32,49,78,62,36,NA,NA,NA,NA,61,84,71,42,NA,NA,NA,NA,47,83,65,46,21,57,43,17,73,100,78,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winchester City Public Schools","John Kerr Elementary",62,79,74,NA,NA,NA,NA,NA,53,83,55,NA,53,67,68,NA,37,47,68,NA,62,81,69,NA,43,66,72,NA,61,77,78,NA,22,71,54,NA,77,92,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winchester City Public Schools","Frederick Douglass Elementary",59,78,77,NA,NA,NA,NA,NA,83,NA,83,NA,42,71,66,NA,31,54,57,NA,60,75,73,NA,39,71,66,NA,59,82,80,NA,41,70,68,NA,73,79,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winchester City Public Schools","Daniel Morgan Intermediate School",66,NA,70,78,100,NA,100,100,60,NA,59,69,58,NA,63,71,28,NA,50,58,68,NA,69,77,56,NA,67,70,65,NA,71,78,39,NA,42,56,80,NA,78,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winchester City Public Schools","Daniel Morgan Middle School",69,82,80,81,73,89,100,93,51,68,59,61,61,74,74,72,11,41,42,26,73,79,80,77,61,80,76,76,66,85,80,86,30,41,47,43,80,86,88,88,71,88,51,60,NA,75,72,67,30,74
"Winchester City Public Schools","Garland R. Quarles Elementary",60,62,78,NA,NA,NA,NA,NA,43,33,50,NA,49,54,71,NA,31,53,76,NA,59,60,78,NA,53,58,82,NA,60,65,79,NA,34,33,41,NA,70,75,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winchester City Public Schools","John Handley High School",75,76,83,78,100,84,92,86,68,63,64,66,66,67,79,69,24,40,81,35,82,74,84,80,62,69,86,68,70,77,81,75,41,53,64,51,87,87,86,89,75,100,76,66,22,82,57,70,38,89
"Winchester City Public Schools","Virginia Avenue Charlotte Dehart Elementary ",70,85,79,NA,NA,NA,NA,NA,67,71,60,NA,61,80,73,NA,43,70,73,NA,73,83,81,NA,56,78,80,NA,67,87,78,NA,50,88,50,NA,85,94,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Lafayette High",83,81,79,81,100,94,86,94,55,61,62,52,60,64,68,63,25,32,58,30,84,82,82,82,68,60,68,60,83,81,76,80,43,51,69,61,97,92,88,94,89,88,69,77,NA,90,80,89,86,95
"Williamsburg-James City County Public Schools","D.J. Montague Elementary",80,83,84,87,100,NA,100,NA,53,47,61,64,64,56,70,75,NA,NA,60,NA,78,76,81,86,85,80,80,75,82,89,86,88,49,62,55,53,88,94,92,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Norge Elementary",81,87,87,87,100,100,100,NA,61,76,72,76,77,79,80,80,82,NA,85,NA,82,85,86,91,79,63,89,83,80,88,88,83,73,78,65,67,88,92,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Berkeley Middle",83,81,87,70,94,NA,94,NA,63,53,70,44,66,64,76,47,17,NA,58,0,85,81,88,73,69,53,80,32,80,81,86,67,51,52,64,38,93,94,94,86,63,NA,43,43,0,71,30,56,27,78
"Williamsburg-James City County Public Schools","Laurel Lane Elementary",75,79,90,85,60,NA,100,NA,59,71,76,57,60,67,83,71,24,NA,78,NA,80,81,90,84,52,60,86,75,70,77,90,86,40,54,57,67,86,85,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Clara Byrd Baker Elementary",77,93,84,77,86,NA,100,NA,60,90,63,62,63,80,68,62,36,NA,56,14,79,95,85,69,69,86,73,67,75,90,82,83,46,63,49,40,85,98,93,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","James Blair Middle",74,84,83,74,82,NA,100,NA,53,59,55,41,51,65,64,52,9,NA,26,22,78,87,86,78,61,89,74,63,70,82,80,71,25,31,40,22,84,90,91,86,68,NA,33,39,NA,71,53,65,11,80
"Williamsburg-James City County Public Schools","Matoaka Elementary",85,87,92,91,80,60,88,100,59,NA,69,83,70,70,81,87,42,NA,71,NA,86,85,90,90,81,82,89,100,83,90,94,91,45,31,60,63,88,90,94,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Warhill High",90,81,83,87,78,87,89,90,81,66,72,68,82,65,73,72,40,57,54,42,93,79,85,88,83,76,70,79,87,83,81,85,65,49,61,61,96,86,88,94,85,80,71,76,NA,89,71,81,53,94
"Williamsburg-James City County Public Schools","Stonehouse Elementary",85,93,91,88,100,NA,100,NA,77,86,79,76,72,79,80,70,50,NA,67,NA,89,93,94,91,80,88,88,67,82,93,89,86,52,67,64,56,86,96,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Jamestown High",92,86,88,91,100,100,100,100,73,64,77,73,75,64,71,71,38,26,36,22,93,83,89,92,78,75,71,68,92,88,87,89,53,58,80,68,97,91,94,97,90,100,76,72,NA,93,72,87,78,94
"Williamsburg-James City County Public Schools","James River Elementary",61,65,72,66,NA,NA,NA,NA,52,52,58,43,53,63,66,52,28,NA,56,31,63,64,69,66,40,57,65,57,60,66,74,66,43,67,51,17,85,86,92,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Lois Hornsby Middle",84,91,85,85,89,100,94,100,66,72,73,66,68,75,71,64,30,NA,63,NA,86,93,88,84,81,89,84,82,82,90,83,87,48,65,52,57,91,98,90,94,79,80,57,52,NA,82,78,76,41,87
"Williamsburg-James City County Public Schools","J. Blaine Blayton Elementary",77,83,90,83,100,NA,100,NA,64,71,91,47,66,70,80,74,63,NA,88,NA,77,91,90,77,80,100,95,NA,77,77,90,92,43,53,73,60,81,89,91,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williamsburg-James City County Public Schools","Toano Middle",81,89,92,83,100,100,100,100,76,78,84,75,69,72,84,69,14,NA,33,NA,86,90,96,88,71,74,89,67,77,88,89,79,43,69,69,52,84,92,95,86,76,80,71,58,NA,86,52,66,28,79
"Williamsburg-James City County Public Schools","Matthew Whaley Elementary",73,69,78,78,NA,NA,100,NA,52,53,61,58,56,54,62,58,40,47,55,25,70,59,78,77,48,42,57,55,75,77,78,79,36,47,38,40,90,83,94,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waynesboro City Public Schools","William Perry Elementary",64,54,78,73,NA,NA,NA,NA,50,30,69,58,64,54,78,73,24,29,65,NA,67,53,76,69,59,50,80,73,62,55,79,76,30,50,44,30,74,65,83,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waynesboro City Public Schools","Berkeley Glenn Elementary",64,69,71,69,NA,NA,NA,NA,58,63,58,38,56,53,60,62,NA,NA,NA,NA,65,67,67,78,76,80,71,71,63,70,74,65,21,20,32,44,62,67,74,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waynesboro City Public Schools","Kate Collins Middle",68,72,66,67,78,NA,89,NA,53,64,47,48,57,60,55,60,17,13,24,13,72,72,69,65,58,43,59,55,64,71,63,69,31,43,33,36,76,82,74,75,55,NA,34,46,13,60,46,50,29,61
"Waynesboro City Public Schools","Westwood Hills Elementary",70,77,79,67,71,NA,100,NA,32,50,43,22,58,75,68,50,33,NA,67,NA,71,68,76,65,73,78,86,91,68,86,81,68,22,40,56,20,76,80,83,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waynesboro City Public Schools","Waynesboro High",82,63,74,69,NA,NA,NA,NA,63,49,68,52,77,55,69,62,NA,40,35,11,85,59,78,65,60,62,69,44,78,67,70,73,43,48,67,38,88,69,78,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waynesboro City Public Schools","Wenonah Elementary",53,75,64,54,NA,NA,NA,NA,32,NA,41,45,53,75,64,54,26,67,50,13,53,65,58,41,51,77,70,40,53,87,70,65,10,NA,45,0,72,91,78,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Christopher Farms Elementary",86,87,89,84,79,NA,100,80,83,69,73,81,74,87,77,81,56,NA,70,NA,91,89,88,83,85,94,87,83,81,85,91,85,54,67,73,50,88,93,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Corporate Landing Middle",82,89,85,90,90,100,95,93,74,88,77,82,77,86,79,86,14,NA,58,33,85,90,87,88,80,84,84,91,80,89,82,92,55,69,56,73,86,89,87,91,75,89,71,66,NA,77,77,73,51,76
"Virginia Beach City Public Schools","Larkspur Middle",80,84,80,83,90,97,94,93,72,76,73,73,76,80,75,77,30,33,44,20,84,83,83,82,79,84,78,81,76,85,78,84,44,47,40,47,86,90,85,90,56,79,45,50,NA,60,49,51,14,66
"Virginia Beach City Public Schools","Ocean Lakes High",93,90,91,87,94,99,91,94,88,73,83,68,88,83,89,81,NA,50,88,45,97,90,94,84,93,92,90,85,89,90,89,88,63,58,76,59,94,93,94,92,89,90,78,81,20,94,89,84,50,91
"Virginia Beach City Public Schools","Strawbridge Elementary",91,98,96,93,75,NA,92,NA,73,83,82,67,86,92,97,83,40,NA,60,NA,94,98,98,92,92,NA,96,NA,87,98,94,95,52,86,76,43,92,99,96,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Landstown Elementary",82,88,87,89,86,100,88,100,71,88,82,88,75,78,84,79,53,NA,72,NA,85,91,89,88,81,82,85,89,78,85,86,90,53,47,62,53,86,83,90,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Landstown Middle",83,83,86,89,90,98,98,93,74,72,76,77,79,74,78,82,50,NA,79,NA,85,80,87,87,79,84,83,88,82,87,84,92,44,39,46,50,88,87,89,94,77,89,65,66,NA,81,71,74,24,84
"Virginia Beach City Public Schools","Tallwood High",90,80,82,82,100,93,92,93,80,67,75,70,82,69,75,75,NA,58,88,50,92,80,86,83,90,77,81,84,88,80,78,80,52,45,67,44,96,88,85,88,85,97,71,77,20,88,91,83,44,91
"Virginia Beach City Public Schools","Tallwood Elementary",93,90,97,91,97,100,100,100,87,77,90,84,91,83,94,83,80,NA,100,NA,93,94,98,94,97,100,100,100,93,85,96,87,69,50,78,50,95,93,99,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Red Mill Elementary",92,90,97,92,89,100,100,100,63,NA,75,NA,75,78,90,78,NA,NA,NA,NA,93,89,98,94,94,88,97,88,91,91,96,91,57,50,81,58,93,93,97,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Ocean Lakes Elementary",88,94,93,86,100,NA,100,NA,84,73,87,82,80,85,90,85,NA,NA,NA,NA,90,94,93,86,86,93,94,86,86,93,92,87,56,71,63,57,89,98,93,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Glenwood Elementary",88,95,92,93,96,100,100,100,75,90,83,85,78,90,84,86,63,NA,81,NA,91,95,93,95,84,93,91,93,84,95,91,92,49,57,62,57,94,96,94,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Salem High",92,84,92,87,83,92,98,96,88,72,85,71,88,76,89,79,NA,NA,80,NA,95,86,94,86,94,86,92,91,88,82,90,88,76,56,68,59,96,91,95,96,89,83,85,86,NA,95,97,83,65,94
"Virginia Beach City Public Schools","Rosemont Forest Elementary",85,84,92,85,100,88,100,100,69,73,76,50,75,82,89,82,NA,NA,NA,NA,92,84,94,86,83,76,96,76,78,84,90,84,60,55,77,55,86,88,94,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Salem Elementary",93,92,94,93,100,100,100,100,93,92,95,84,89,94,90,85,NA,NA,NA,NA,92,96,90,93,89,77,79,85,94,89,98,93,63,71,79,71,93,94,97,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Parkway Elementary",76,76,84,85,100,NA,100,NA,66,69,77,76,72,69,80,79,60,NA,60,NA,76,77,83,89,75,NA,81,NA,76,74,84,82,42,44,58,44,96,73,96,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Rosemont Elementary",90,89,97,77,90,100,100,100,88,82,96,67,90,87,96,74,56,NA,100,NA,89,91,96,79,86,100,95,71,91,88,99,76,62,NA,77,NA,90,100,100,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Indian Lakes Elementary",84,82,86,82,93,83,93,83,77,62,68,64,79,74,80,79,80,NA,80,NA,85,77,88,79,81,77,90,77,83,87,83,85,48,63,62,56,88,94,91,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Old Donation School",100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,NA,NA,NA,NA,99,99,99,99,100,100,98,100,100,100,100,100,100,NA,100,NA,100,99,100,99,100,100,100,100,NA,100,100,100,NA,100
"Virginia Beach City Public Schools","Brandon Middle",82,82,83,80,96,95,94,97,76,76,74,68,76,73,78,70,57,NA,81,NA,85,85,86,83,78,85,82,79,79,79,81,77,44,51,50,28,88,87,90,90,65,85,48,53,NA,71,74,58,17,76
"Virginia Beach City Public Schools","Fairfield Elementary",82,79,91,72,79,100,100,83,71,72,80,56,69,60,84,50,44,NA,88,NA,87,74,93,65,95,83,100,67,78,84,89,78,42,41,69,24,83,78,92,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Green Run Elementary",81,82,88,84,100,100,100,100,74,78,82,74,77,79,86,83,NA,NA,100,NA,85,70,86,78,82,83,94,83,78,91,90,89,33,33,52,50,85,63,89,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","North Landing Elementary",96,99,98,97,96,100,100,100,85,100,85,100,93,94,98,94,NA,NA,NA,NA,95,98,98,95,96,NA,100,NA,97,100,98,98,82,100,86,80,98,100,99,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Princess Anne Middle",92,95,93,95,94,95,98,97,74,95,80,86,81,91,86,91,67,NA,88,NA,94,96,94,95,89,88,90,95,90,94,93,95,59,63,63,60,93,96,94,95,86,90,74,77,NA,91,83,81,26,87
"Virginia Beach City Public Schools","Independence Middle",84,89,86,88,91,93,96,96,75,76,75,74,78,86,79,83,25,20,68,10,88,88,90,87,84,96,85,87,79,90,82,89,40,44,47,40,88,92,90,92,76,93,67,73,NA,86,76,65,17,80
"Virginia Beach City Public Schools","Lynnhaven Middle",84,89,83,89,88,100,100,94,65,56,60,51,74,81,73,76,27,NA,70,NA,87,92,85,89,72,88,74,92,81,87,82,89,37,50,37,42,93,95,93,94,74,82,44,57,NA,82,64,67,11,79
"Virginia Beach City Public Schools","College Park Elementary",77,90,82,91,100,NA,100,NA,75,88,79,92,73,88,80,88,NA,NA,NA,NA,82,89,85,89,69,82,89,73,73,90,79,93,44,50,51,58,88,100,88,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Newtown Elementary",64,NA,81,NA,90,NA,100,NA,58,NA,77,NA,60,NA,77,NA,NA,NA,100,NA,70,NA,82,NA,68,NA,85,NA,57,NA,80,NA,30,NA,45,NA,91,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Bayside Middle",70,82,84,80,84,83,95,92,64,80,81,75,65,80,82,76,13,80,77,33,73,84,88,80,66,76,80,69,67,80,80,80,34,57,53,38,86,88,92,93,50,100,44,44,20,60,55,41,14,76
"Virginia Beach City Public Schools","Providence Elementary",84,82,93,82,83,100,94,100,66,70,84,62,78,77,90,74,NA,NA,NA,NA,85,75,93,75,85,78,92,78,83,87,93,87,51,53,64,47,92,88,97,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Kempsville Middle",82,90,82,90,83,91,94,93,70,89,67,79,72,85,75,86,33,NA,70,NA,87,90,85,90,81,89,74,92,77,89,80,90,44,59,49,58,86,90,87,93,80,91,62,72,NA,83,72,76,45,86
"Virginia Beach City Public Schools","Point O' View Elementary",74,87,79,79,100,100,100,100,69,76,75,79,65,83,70,72,43,NA,61,20,71,85,74,77,64,95,73,65,77,88,84,81,36,54,45,50,81,86,83,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Windsor Oaks Elementary",85,93,89,76,94,NA,94,60,81,86,90,59,82,89,87,72,33,NA,78,NA,87,95,89,75,81,100,90,83,84,90,90,77,63,89,77,44,89,95,90,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Pembroke Meadows Elementary",82,80,89,77,58,NA,83,NA,73,63,77,50,75,71,83,67,NA,NA,100,NA,84,86,87,81,79,60,91,71,79,73,91,73,42,33,55,33,87,86,93,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Plaza Middle",85,91,86,88,91,93,98,93,73,90,72,79,76,85,76,79,45,40,91,60,89,92,87,88,86,86,86,92,81,90,84,88,49,52,45,49,91,93,93,92,84,96,72,75,NA,89,86,77,42,88
"Virginia Beach City Public Schools","Brookwood Elementary",84,85,89,82,90,NA,100,NA,71,77,81,70,82,78,86,75,NA,NA,NA,NA,88,84,88,81,91,82,91,78,80,86,90,83,56,53,59,44,86,90,93,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Kempsville High",93,79,90,84,86,83,84,86,88,71,86,77,92,71,86,79,NA,55,100,36,95,78,92,85,91,78,96,76,91,80,87,82,66,44,83,58,97,83,91,89,85,89,75,79,NA,89,83,81,38,90
"Virginia Beach City Public Schools","First Colonial High",90,82,94,84,100,89,92,92,71,64,88,68,80,69,89,75,NA,20,50,20,92,79,93,84,84,69,90,76,88,85,94,84,53,44,86,51,96,89,96,91,87,91,60,75,NA,90,91,84,43,95
"Virginia Beach City Public Schools","Holland Elementary",86,87,96,81,81,100,100,100,77,69,94,57,83,82,95,75,44,NA,100,NA,90,90,99,90,95,100,98,93,82,84,94,72,58,57,69,57,94,96,98,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Beach City Public Schools","Birdneck Elementary",74,87,80,69,NA,NA,NA,NA,55,75,75,65,69,85,76,64,55,NA,64,NA,80,86,80,68,73,100,75,50,67,89,79,70,49,78,54,40,88,100,85,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
