"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Warren County Public Schools","Skyline High",82,69,75,77,NA,86,NA,100,68,60,50,63,67,55,64,64,22,44,50,27,86,65,81,78,47,63,67,55,79,73,67,76,58,33,53,30,89,72,79,81,75,NA,56,59,11,83,38,67,29,81
"Warren County Public Schools","Ressie Jeffries Elementary",69,86,78,74,NA,NA,NA,NA,74,75,74,88,62,85,70,67,67,NA,83,NA,74,90,77,72,70,100,75,75,65,81,79,75,21,71,32,21,68,86,79,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County Public Schools","Warren County High",84,77,87,83,NA,83,NA,83,71,56,69,76,78,70,84,75,NA,29,71,30,93,76,86,85,78,67,91,67,76,79,88,82,59,49,64,40,84,78,88,85,80,100,83,74,NA,88,80,72,45,80
"Warren County Public Schools","Leslie Fox Keyser Elementary",73,91,81,74,NA,NA,NA,NA,67,100,81,60,69,87,74,67,40,NA,80,NA,72,90,79,77,64,NA,82,NA,73,92,82,69,42,62,53,27,74,89,81,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County Public Schools","E. Wilson Morrison Elementary",62,47,69,57,100,NA,100,NA,48,25,65,14,54,38,64,48,53,NA,60,NA,67,51,69,53,52,40,59,29,57,42,70,60,21,11,21,33,63,47,69,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Springville Elementary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Graham Intermediate",82,84,87,91,NA,NA,NA,NA,74,71,74,75,77,80,82,86,NA,NA,NA,NA,85,79,89,92,NA,NA,NA,NA,79,88,86,89,64,67,58,75,84,87,89,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Graham High",94,86,87,88,NA,90,100,100,NA,75,64,77,86,78,79,81,NA,NA,NA,NA,97,86,90,91,NA,NA,NA,NA,92,85,83,84,75,53,45,63,96,86,87,88,100,NA,NA,100,NA,100,NA,100,NA,100
"Tazewell County Public Schools","Raven Elementary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tazewell County Public Schools","Tazewell High",93,83,95,92,NA,NA,NA,NA,NA,83,NA,NA,89,77,96,88,NA,NA,NA,NA,97,86,95,94,NA,NA,NA,NA,89,79,96,90,94,45,100,77,94,83,96,92,100,NA,NA,100,NA,100,NA,100,NA,100
